Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"Journal of Financial Reporting and Accounting","J FINANC REPORT ACCO","EMERALD GROUP PUBLISHING LTD","1985-2517","2042-5856","BUSINESS, FINANCE","ESCI","1,218","3.3","0.89","1.05"%," 49/233 ","3.3","Q2","2.7","0.6"," 58/233 ","Q1","75.32","0.001","0.152","0.302","79.2","Q1","Q3","123","97.56"%,"3","8","120",
"Journal of International Accounting Auditing and Taxation","J INT ACCOUNT AUDIT","ELSEVIER","1061-9518","1879-1603","BUSINESS, FINANCE","ESCI","1,109","3.3","0.87","21.57"%," 49/233 ","N/A","N/A","3","0.7"," 61/233 ","Q2","74.03","0.001","0.133","N/A","79.2","Q1","N/A","38","97.37"%,"5.6","10.6","37",
"Quantitative Finance and Economics","QUANT FINANC ECON","AMER INST MATHEMATICAL SCIENCES-AIMS","2573-0134","2573-0134","BUSINESS, FINANCE","ESCI","409","3.2","1.25","95.83"%," 54/233 ","2.2","Q2","3.1","0.3"," 35/233 ","Q1","85.19","0","0.09","0.283","77.0","Q1","Q3","32","100"%,"2.9","8.8","32",
"CONTEMPORARY ACCOUNTING RESEARCH","CONTEMP ACCOUNT RES","WILEY","0823-9150","1911-3846","BUSINESS, FINANCE","SSCI","8,264","3.2","1.05","29.3"%," 54/233 ","5.4","Q1","2.9","0.7"," 46/233 ","Q1","80.47","0.008","1.798","2.288","77.0","Q1","Q1","82","100"%,"10.1","11.9","82",
"Journal of Accounting in Emerging Economies","J ACCOUNT EMERG ECON","EMERALD GROUP PUBLISHING LTD","2042-1168","2042-1176","BUSINESS, FINANCE","ESCI","971","3.2","0.87","5.88"%," 54/233 ","3.8","Q1","2.8","0.5"," 61/233 ","Q2","74.03","0.001","0.13","0.403","77.0","Q1","Q3","44","100"%,"4.3","9.3","44",
"National Accounting Review","NATL ACCOUNT REV","AMER INST MATHEMATICAL SCIENCES-AIMS","N/A","2689-3010","BUSINESS, FINANCE","ESCI","178","3.2","0.65","98.57"%," 54/233 ","2.3","Q2","3.1","<0.1"," 88/233 ","Q2","62.45","0","0.027","0.197","77.0","Q1","Q4","23","100"%,"2","8.3","23",
"JOURNAL OF FINANCIAL INTERMEDIATION","J FINANC INTERMED","ACADEMIC PRESS INC ELSEVIER SCIENCE","1042-9573","1096-0473","BUSINESS, FINANCE","SSCI","3,240","3.1","1.42","12.04"%," 58/233 ","5.7","Q1","2.9","0.9"," 27/233 ","Q1","88.63","0.004","0.931","3.259","75.3","Q1","Q1","33","96.97"%,"10.3","9.5","32",
"Australian Accounting Review","AUST ACCOUNT REV","WILEY","1035-6908","1835-2561","BUSINESS, FINANCE","SSCI","1,154","3.1","0.94","38.1"%," 58/233 ","3.1","Q2","2.9","1.6"," 52/233 ","Q1","77.90","0.001","0.147","0.495","75.3","Q1","Q2","16","87.5"%,"6.4","9.9","14",
"Accounting and Finance","ACCOUNT FINANC","WILEY","0810-5391","1467-629X","BUSINESS, FINANCE","SSCI","3,864","3.1","0.69","25.32"%," 58/233 ","3.3","Q2","2.9","0.4"," 80/233 ","Q2","65.88","0.004","0.802","0.607","75.3","Q1","Q2","161","97.52"%,"4.3","11.2","157",
"Financial Accountability & Management","FINANC ACCOUNT MANAG","WILEY","0267-4424","1468-0408","BUSINESS, FINANCE","ESCI","988","3.1","0.63","57.47"%," 58/233 ","2.7","Q2","2.8","0.3"," 95/233 ","Q2","59.44","0.001","0.184","0.654","75.3","Q1","Q2","25","92"%,"8","10.5","23",
