Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"WORLD ECONOMY","WORLD ECON","WILEY","0378-5920","1467-9701","BUSINESS, FINANCE","SSCI","4,641","2.6","0.83","27.34"%," 75/233 ","2.5","Q2","2.4","0.3"," 67/233 ","Q2","71.46","0.004","0.804","0.606","68.0","Q2","Q2","160","95"%,"7.6","9.3","152",
"FINANCIAL REVIEW","FINANC REV","WILEY","0732-8516","1540-6288","BUSINESS, FINANCE","ESCI","1,527","2.6","0.53","20.56"%," 75/233 ","2.4","Q2","2.2","0.5"," 116/233 ","Q2","50.43","0.001","0.223","0.775","68.0","Q2","Q2","39","97.44"%,"13.3","11.9","38",
"Accounting Education","ACCOUNT EDUC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0963-9284","1468-4489","BUSINESS, FINANCE","ESCI","1,357","2.5","0.8","16.95"%," 77/233 ","3.5","Q2","1.8","0.3"," 69/233 ","Q2","70.60","0.001","0.148","0.523","67.2","Q2","Q2","38","100"%,"7.8","8.9","38",
"European Accounting Review","EUR ACCOUNT REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0963-8180","1468-4497","BUSINESS, FINANCE","SSCI","2,962","2.5","0.77","33.33"%," 77/233 ","3.9","Q1","2.3","0.4"," 72/233 ","Q2","69.31","0.002","0.476","0.941","67.2","Q2","Q1","50","94"%,"8.8","12","47",
"Journal of Islamic Accounting and Business Research","J ISLAMIC ACCOUNT BU","EMERALD GROUP PUBLISHING LTD","1759-0817","1759-0825","BUSINESS, FINANCE","ESCI","1,242","2.5","0.65","0.64"%," 77/233 ","2.4","Q2","1.7","0.5"," 88/233 ","Q2","62.45","0.001","0.162","0.239","67.2","Q2","Q3","147","92.52"%,"3.5","7","136",
"Abacus-A Journal of Accounting Finance and Business Studies","ABACUS","WILEY","0001-3072","1467-6281","BUSINESS, FINANCE","SSCI","1,188","2.5","0.56","17.44"%," 77/233 ","2.8","Q2","2.3","0.4"," 110/233 ","Q2","53.00","0.001","0.136","0.612","67.2","Q2","Q2","27","100"%,"10.2","14.4","27",
"Accounting Research Journal","ACCOUNT RES J","EMERALD GROUP PUBLISHING LTD","1030-9616","1839-5465","BUSINESS, FINANCE","ESCI","687","2.4","0.63","5.77"%," 81/233 ","2.3","Q2","2.2","0.6"," 95/233 ","Q2","59.44","0.001","0.123","0.346","65.5","Q2","Q3","33","96.97"%,"4.5","9.4","32",
"Journal of Accounting and Organizational Change","J ACCOUNT ORGAN CHAN","EMERALD GROUP PUBLISHING LTD","1832-5912","1839-5473","BUSINESS, FINANCE","ESCI","793","2.4","0.6","10.85"%," 81/233 ","2.4","Q2","2","0.3"," 102/233 ","Q2","56.44","0.001","0.136","0.398","65.5","Q2","Q3","41","95.12"%,"4.9","9.7","39",
"WORLD BANK ECONOMIC REVIEW","WORLD BANK ECON REV","OXFORD UNIV PRESS","0258-6770","1564-698X","BUSINESS, FINANCE","SSCI","3,044","2.3","0.76","17.61"%," 83/233 ","3","Q2","2.1","0.4"," 76/233 ","Q2","67.60","0.003","0.608","1.512","64.6","Q2","Q1","46","100"%,"14.8","8.9","46",
"Studies in Economics and Finance","STUD ECON FINANC","EMERALD GROUP PUBLISHING LTD","1086-7376","1755-6791","BUSINESS, FINANCE","ESCI","668","2.3","0.64","3.66"%," 83/233 ","1.9","Q3","2","0.4"," 92/233 ","Q2","60.73","0","0.108","0.264","64.6","Q2","Q3","53","100"%,"3.6","6.6","53",
"Qualitative Research in Accounting and Management","QUAL RES ACCOUNT MAN","EMERALD GROUP PUBLISHING LTD","1176-6093","1758-7654","BUSINESS, FINANCE","SSCI","775","2.3","0.62","21.95"%," 83/233 ","2.4","Q2","1.8","0.7"," 97/233 ","Q2","58.58","0","0.106","0.447","64.6","Q2","Q3","25","92"%,"8","11.9","23",
"Journal of Financial Reporting","J FINANC REPORT","AMER ACCOUNTING ASSOC","2380-2154","2380-2146","BUSINESS, FINANCE","ESCI","165","2.3","0.6","0"%," 83/233 ","2","Q3","2.1","1"," 102/233 ","Q2","56.44","0.001","0.119","1.208","64.6","Q2","Q1","10","100"%,"3.6","11.3","10",
"Asian Review of Accounting","ASIAN REV ACCOUNT","EMERALD GROUP PUBLISHING LTD","1321-7348","1758-8863","BUSINESS, FINANCE","ESCI","827","2.3","0.59","3.42"%," 83/233 ","2.7","Q2","1.7","0.7"," 105/233 ","Q2","55.15","0","0.082","0.293","64.6","Q2","Q3","54","96.3"%,"5.5","9.2","52",
"Review of Asset Pricing Studies","REV ASSET PRICING ST","OXFORD UNIV PRESS","2045-9920","2045-9939","BUSINESS, FINANCE","ESCI","924","2.2","2.54","19.72"%," 88/233 ","7.2","Q1","2.2","0.3"," 3/233 ","Q1","98.93","0.004","0.833","4.578","62.4","Q2","Q1","15","100"%,"3.6","13","15",
"FISCAL STUDIES","FISC STUD","WILEY","0143-5671","1475-5890","BUSINESS, FINANCE","SSCI","1,160","2.2","1.86","55.41"%," 88/233 ","4.3","Q1","2.2","0.7"," 14/233 ","Q1","94.21","0.002","0.442","1.974","62.4","Q2","Q1","29","100"%,"6.8","6.9","29",
"Journal of Business Finance & Accounting","J BUS FINAN ACCOUNT","WILEY","0306-686X","1468-5957","BUSINESS, FINANCE","SSCI","3,499","2.2","0.68","23.94"%," 88/233 ","3","Q2","1.9","0.2"," 81/233 ","Q2","65.45","0.002","0.419","0.75","62.4","Q2","Q2","64","100"%,"11.4","12.2","64",
"Accounting Horizons","ACCOUNT HORIZ","AMER ACCOUNTING ASSOC","0888-7993","1558-7975","BUSINESS, FINANCE","SSCI","3,107","2.2","0.66","0"%," 88/233 ","3.2","Q2","2.1","0.7"," 85/233 ","Q2","63.73","0.002","0.357","1.084","62.4","Q2","Q1","40","97.5"%,"12.2","12.3","39",
"European Journal of Finance","EUR J FINANC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1351-847X","1466-4364","BUSINESS, FINANCE","SSCI","2,280","2.2","0.66","27.41"%," 88/233 ","2.9","Q2","1.9","0.4"," 85/233 ","Q2","63.73","0.003","0.552","0.607","62.4","Q2","Q2","63","100"%,"4.3","9.9","63",
"JOURNAL OF FINANCIAL MARKETS","J FINANC MARK","ELSEVIER","1386-4181","1878-576X","BUSINESS, FINANCE","SSCI","2,243","2.1","0.68","12.99"%," 93/233 ","2.5","Q2","1.9","0.7"," 81/233 ","Q2","65.45","0.002","0.346","1.007","60.3","Q2","Q1","60","100"%,"13.1","12.9","60",
"Pacific Accounting Review","PAC ACCOUNT REV","EMERALD GROUP PUBLISHING LTD","0114-0582","2041-5494","BUSINESS, FINANCE","ESCI","805","2.1","0.67","3.64"%," 93/233 ","2.4","Q2","2","0.4"," 83/233 ","Q2","64.59","0.001","0.114","0.351","60.3","Q2","Q3","23","100"%,"5.4","11.3","23",
"European Financial Management","EUR FINANC MANAG","WILEY","1354-7798","1468-036X","BUSINESS, FINANCE","SSCI","2,119","2.1","0.65","37.11"%," 93/233 ","2.7","Q2","1.9","0.5"," 88/233 ","Q2","62.45","0.002","0.359","0.809","60.3","Q2","Q2","61","100"%,"10.8","10.6","61",
"Journal of Empirical Finance","J EMPIR FINANC","ELSEVIER","0927-5398","1879-1727","BUSINESS, FINANCE","SSCI","3,663","2.1","0.65","14.63"%," 93/233 ","3","Q2","2.1","0.5"," 88/233 ","Q2","62.45","0.003","0.605","0.931","60.3","Q2","Q2","90","100"%,"9.7","12.6","90",
"International Journal of Financial Studies","INT J FINANC STUD","MDPI","2227-7072","2227-7072","BUSINESS, FINANCE","ESCI","1,113","2.1","0.64","100"%," 93/233 ","2.1","Q2","1.9","0.5"," 92/233 ","Q2","60.73","0.001","0.229","0.292","60.3","Q2","Q3","150","90.67"%,"3.4","7.5","136",
"INTERNATIONAL JOURNAL OF AUDITING","INT J AUDIT","WILEY","1090-6738","1099-1123","BUSINESS, FINANCE","SSCI","1,179","2.1","0.58","26.21"%," 93/233 ","2.9","Q2","1.9","0.2"," 107/233 ","Q2","54.29","0.001","0.135","0.466","60.3","Q2","Q3","34","97.06"%,"8","12.3","33",
"JOURNAL OF RISK AND INSURANCE","J RISK INSUR","WILEY","0022-4367","1539-6975","BUSINESS, FINANCE","SSCI","1,985","2.1","0.58","30.43"%," 93/233 ","1.8","Q3","1.4","0.5"," 107/233 ","Q2","54.29","0.001","0.227","0.648","60.3","Q2","Q2","34","100"%,"13.3","10","34",
"REAL ESTATE ECONOMICS","REAL ESTATE ECON","WILEY","1080-8620","1540-6229","BUSINESS, FINANCE","SSCI","1,487","2","0.73","20.26"%," 100/233 ","2.2","Q2","1.7","0.4"," 78/233 ","Q2","66.74","0.002","0.434","1.042","57.3","Q2","Q1","42","100"%,"10.4","9.6","42",
"Risks","RISKS","MDPI","N/A","2227-9091","BUSINESS, FINANCE","ESCI","1,753","2","0.62","100"%," 100/233 ","1.7","Q3","1.7","0.6"," 97/233 ","Q2","58.58","0.002","0.507","0.325","57.3","Q2","Q3","215","96.28"%,"2.7","7","207",
"JOURNAL OF INFORMATION SYSTEMS","J INF SYST","AMER ACCOUNTING ASSOC","0888-7985","1558-7959","BUSINESS, FINANCE","SSCI","924","2","0.52","0"%," 100/233 ","2.5","Q2","1.9","0.1"," 120/233 ","Q3","48.71","0.001","0.176","0.662","57.3","Q2","Q2","21","95.24"%,"6.7","8.8","20",
"ACCOUNTING AND BUSINESS RESEARCH","ACCOUNT BUS RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0001-4788","2159-4260","BUSINESS, FINANCE","SSCI","2,055","2","0.51","37.25"%," 100/233 ","2.8","Q2","2","0.4"," 124/233 ","Q3","47.00","0.001","0.251","0.738","57.3","Q2","Q2","26","100"%,"10.9","10.5","26",
"GENEVA PAPERS ON RISK AND INSURANCE-ISSUES AND PRACTICE","GENEVA PAP R I-ISS P","PALGRAVE MACMILLAN LTD","1018-5895","1468-0440","BUSINESS, FINANCE","SSCI","823","2","0.51","27.17"%," 100/233 ","1.8","Q3","1.9","0.3"," 124/233 ","Q3","47.00","0.001","0.163","0.514","57.3","Q2","Q2","24","100"%,"8.4","6.7","24",
"International Journal of Accounting","INT J ACCOUNT","WORLD SCIENTIFIC PUBL CO PTE LTD","1094-4060","2213-3933","BUSINESS, FINANCE","ESCI","1,263","2","0.5","3.33"%," 100/233 ","2.7","Q2","1.9","0.4"," 127/233 ","Q3","45.71","0","0.078","0.461","57.3","Q2","Q3","18","94.44"%,"12","11.9","17",
"Journal of Financial Regulation and Compliance","J FINANC REGUL COMPL","EMERALD GROUP PUBLISHING LTD","1358-1988","1740-0279","BUSINESS, FINANCE","ESCI","437","2","0.42","11.7"%," 100/233 ","1.4","Q3","1.9","0.2"," 145/233 ","Q3","37.98","0","0.06","0.206","57.3","Q2","Q4","27","96.3"%,"5.2","7.6","26",
"Review of Corporate Finance Studies","REV CORP FINANC STUD","OXFORD UNIV PRESS","2046-9128","2046-9136","BUSINESS, FINANCE","ESCI","913","1.9","1.79","15.84"%," 107/233 ","6.4","Q1","1.9","0.8"," 15/233 ","Q1","93.78","0.003","0.737","3.556","54.3","Q2","Q1","25","100"%,"3.6","11.1","25",
"China Journal of Accounting Research","CHINA J ACCOUNT RES","ELSEVIER","1755-3091","1755-3091","BUSINESS, FINANCE","ESCI","754","1.9","0.8","92.86"%," 107/233 ","3.4","Q2","1.8","0.6"," 69/233 ","Q2","70.60","0.001","0.128","0.627","54.3","Q2","Q2","32","96.88"%,"5.7","9","31",
"Review of Behavioral Finance","REV BEHAV FINANCE","EMERALD GROUP PUBLISHING LTD","1940-5979","1940-5987","BUSINESS, FINANCE","ESCI","532","1.9","0.61","4.2"%," 107/233 ","2","Q3","1.8","0.3"," 100/233 ","Q2","57.30","0.001","0.123","0.335","54.3","Q2","Q3","28","100"%,"3.5","8.3","28",
"Qualitative Research in financial Markets","QUAL RES FINANC MARK","EMERALD GROUP PUBLISHING LTD","1755-4179","1755-4179","BUSINESS, FINANCE","ESCI","708","1.9","0.59","2.82"%," 107/233 ","2.8","Q2","1.6","0.4"," 105/233 ","Q2","55.15","0","0.106","0.35","54.3","Q2","Q3","46","69.57"%,"4.4","7.4","32",
"Review of Quantitative Finance and Accounting","REV QUANT FINANC ACC","SPRINGER","0924-865X","1573-7179","BUSINESS, FINANCE","ESCI","2,098","1.9","0.52","21.63"%," 107/233 ","2.1","Q2","1.5","0.4"," 120/233 ","Q3","48.71","0.002","0.333","0.371","54.3","Q2","Q3","107","99.07"%,"5.9","12.6","106",
"MANAGERIAL FINANCE","MANAG FINANC","EMERALD GROUP PUBLISHING LTD","0307-4358","1758-7743","BUSINESS, FINANCE","ESCI","1,667","1.9","0.49","2.14"%," 107/233 ","1.7","Q3","1.8","0.3"," 129/233 ","Q3","44.85","0.001","0.229","0.247","54.3","Q2","Q3","87","96.55"%,"5.7","9.4","84",
"Journal of Financial Econometrics","J FINANC ECONOMET","OXFORD UNIV PRESS","1479-8409","1479-8417","BUSINESS, FINANCE","SSCI","1,784","1.8","0.74","15.69"%," 113/233 ","4","Q1","1.7","0.5"," 77/233 ","Q2","67.17","0.003","0.637","1.903","51.7","Q2","Q1","30","100"%,"8.4","14.1","30",
"International Journal of Managerial Finance","INT J MANAG FINANC","EMERALD GROUP PUBLISHING LTD","1743-9132","1758-6569","BUSINESS, FINANCE","ESCI","1,043","1.8","0.66","0.76"%," 113/233 ","2.7","Q2","1.7","0.3"," 85/233 ","Q2","63.73","0.001","0.165","0.394","51.7","Q2","Q3","47","97.87"%,"4.9","10.5","46",
"JOURNAL OF FUTURES MARKETS","J FUTURES MARKETS","WILEY","0270-7314","1096-9934","BUSINESS, FINANCE","SSCI","2,285","1.8","0.57","15.45"%," 113/233 ","2.1","Q2","1.4","0.7"," 109/233 ","Q2","53.43","0.002","0.343","0.444","51.7","Q2","Q3","71","100"%,"8.2","9.9","71",
"International Review of Finance","INT REV FINANC","WILEY","1369-412X","1468-2443","BUSINESS, FINANCE","SSCI","817","1.8","0.53","11.4"%," 113/233 ","1.7","Q3","1.7","0.6"," 116/233 ","Q2","50.43","0.001","0.143","0.326","51.7","Q2","Q3","32","100"%,"5.5","11.5","32",
"NATIONAL TAX JOURNAL","NATL TAX J","UNIV CHICAGO PRESS","0028-0283","1944-7477","BUSINESS, FINANCE","SSCI","1,802","1.8","0.5","0.99"%," 113/233 ","1.9","Q3","1.4","0.6"," 127/233 ","Q3","45.71","0.002","0.421","1.419","51.7","Q2","Q1","40","100"%,"17.8","8.2","40",
"Asia-Pacific Journal of Financial Studies","ASIA-PAC J FINANC ST","WILEY","2041-9945","2041-6156","BUSINESS, FINANCE","SSCI","493","1.8","0.46","3.19"%," 113/233 ","2","Q3","1.7","0.2"," 137/233 ","Q3","41.42","0.001","0.118","0.435","51.7","Q2","Q3","35","100"%,"5.3","11.9","35",
"JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS","J REAL ESTATE FINANC","SPRINGER","0895-5638","1573-045X","BUSINESS, FINANCE","SSCI","2,041","1.7","0.53","21.84"%," 119/233 ","1.7","Q3","1.6","0.3"," 116/233 ","Q2","50.43","0.002","0.353","0.575","49.1","Q3","Q2","35","100"%,"11.5","10.8","35",
"Journal of Central Banking Theory and Practice","J CENT BANK THEOR PR","SCIENDO","1800-9581","2336-9205","BUSINESS, FINANCE","ESCI","295","1.7","0.49","100"%," 119/233 ","1.5","Q3","0.6","0.2"," 129/233 ","Q3","44.85","0","0.041","0.14","49.1","Q3","Q4","31","100"%,"3.6","8.8","31",
"JOURNAL OF ECONOMICS AND FINANCE","J ECON FINANC-US","SPRINGERNATURE","1055-0925","1938-9744","BUSINESS, FINANCE","ESCI","685","1.7","0.49","16.43"%," 119/233 ","N/A","N/A","1.6","0.4"," 129/233 ","Q3","44.85","0","0.082","N/A","49.1","Q3","N/A","61","98.36"%,"8.1","11.8","60",
"Journal of Behavioral Finance","J BEHAV FINANC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1542-7560","1542-7579","BUSINESS, FINANCE","SSCI","1,046","1.7","0.47","14.44"%," 119/233 ","2","Q3","1.6","0.2"," 136/233 ","Q3","41.85","0.001","0.157","0.4","49.1","Q3","Q3","25","100"%,"7","11.3","25",
"Accounting History","ACCOUNT HIST","SAGE PUBLICATIONS LTD","1032-3732","1749-3374","BUSINESS, FINANCE","ESCI","619","1.7","0.41","33.75"%," 119/233 ","1.6","Q3","1.1","0.3"," 148/233 ","Q3","36.70","0","0.094","0.373","49.1","Q3","Q3","28","96.43"%,"8.3","18","27",
"JOURNAL OF INDUSTRIAL ECONOMICS","J IND ECON","WILEY","0022-1821","1467-6451","BUSINESS, FINANCE","SSCI","2,223","1.7","0.37","34.96"%," 119/233 ","1.8","Q3","1.6","0.2"," 161/233 ","Q3","31.12","0.001","0.234","1.119","49.1","Q3","Q1","67","100"%,"20.7","13.3","67",
"Australasian Accounting Business and Finance Journal","AUSTRALAS ACCOUNT BU","UNIV WOLLONGONG","1834-2000","1834-2019","BUSINESS, FINANCE","ESCI","625","1.6","0.64","27.46"%," 125/233 ","1.8","Q3","1.5","1"," 92/233 ","Q2","60.73","0","0.068","0.214","46.6","Q3","Q4","56","98.21"%,"4.7","9.1","55",
"MATHEMATICAL FINANCE","MATH FINANC","WILEY","0960-1627","1467-9965","BUSINESS, FINANCE","SSCI","2,204","1.6","0.62","37.93"%," 125/233 ","2.2","Q2","1.3","0.7"," 97/233 ","Q2","58.58","0.002","0.443","1.225","46.6","Q3","Q1","52","100"%,"16.9","9.1","52",
"Critical Finance Review","CRIT FINANC REV","NOW PUBLISHERS INC","2164-5744","2164-5760","BUSINESS, FINANCE","ESCI","271","1.6","0.55","0"%," 125/233 ","1.6","Q3","1.5","1.4"," 112/233 ","Q2","52.15","0.001","0.201","1.652","46.6","Q3","Q1","10","100"%,"6.7","20.2","10",
"Journal of Emerging Technologies in Accounting","J EMERG TECHNOL ACCO","AMER ACCOUNTING ASSOC","1554-1908","1558-7940","BUSINESS, FINANCE","ESCI","636","1.6","0.52","0"%," 125/233 ","2.8","Q2","1.1","0.3"," 120/233 ","Q3","48.71","0","0.104","0.455","46.6","Q3","Q3","29","96.55"%,"5.5","6","28",
"Journal of Property Investment & Finance","J PROP INVEST FINANC","EMERALD GROUP PUBLISHING LTD","1463-578X","1470-2002","BUSINESS, FINANCE","ESCI","712","1.6","0.41","5.32"%," 125/233 ","1.5","Q3","1.1","0.5"," 148/233 ","Q3","36.70","0","0.078","0.21","46.6","Q3","Q4","36","91.67"%,"7.3","7.8","33",
"Accounting Perspectives","ACCOUNT PERSPECT","WILEY","1911-382X","1911-3838","BUSINESS, FINANCE","ESCI","279","1.6","0.4","20.31"%," 125/233 ","1.9","Q3","1.6","0.1"," 152/233 ","Q3","34.98","0","0.07","0.406","46.6","Q3","Q3","18","100"%,"5.3","12.7","18",
"Annals of Actuarial Science","ANN ACTUAR SCI","CAMBRIDGE UNIV PRESS","1748-4995","1748-5002","BUSINESS, FINANCE","ESCI","241","1.5","0.61","38.27"%," 131/233 ","1.2","Q3","1.3","0.4"," 100/233 ","Q2","57.30","0","0.103","0.463","44.0","Q3","Q3","22","100"%,"3.8","11.4","22",
"International Journal of Health Economics and Management","INT J HEALTH ECON MA","SPRINGER","2199-9023","2199-9031","BUSINESS, FINANCE","SSCI","236","1.5","0.54","31.94"%," 131/233 ","1.6","Q3","1.5","0.1"," 113/233 ","Q2","51.72","0.001","0.161","0.779","44.0","Q3","Q2","22","100"%,"3.8","9.3","22",
"Journal of Asset Management","J ASSET MANAG","PALGRAVE MACMILLAN LTD","1470-8272","1479-179X","BUSINESS, FINANCE","ESCI","645","1.5","0.54","24.03"%," 131/233 ","1.8","Q3","1.5","0.1"," 113/233 ","Q2","51.72","0.001","0.156","0.403","44.0","Q3","Q3","36","100"%,"5.3","10.6","36",
"Revista de Contabilidad-Spanish Accounting Review","REV CONTAB","UNIV MURCIA","1138-4891","1988-4672","BUSINESS, FINANCE","SSCI","433","1.5","0.53","91.78"%," 131/233 ","1.9","Q3","1.5","1"," 116/233 ","Q2","50.43","0","0.063","0.347","44.0","Q3","Q3","29","86.21"%,"6.1","11.3","25",
"QUANTITATIVE FINANCE","QUANT FINANC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1469-7688","1469-7696","BUSINESS, FINANCE","SSCI","3,553","1.5","0.46","19.66"%," 131/233 ","2.2","Q2","1.3","0.4"," 137/233 ","Q3","41.42","0.004","0.839","0.787","44.0","Q3","Q2","85","100"%,"8.1","12.6","85",
"JOURNAL OF FINANCIAL SERVICES RESEARCH","J FINANC SERV RES","SPRINGER","0920-8550","1573-0735","BUSINESS, FINANCE","SSCI","1,265","1.5","0.43","23.61"%," 131/233 ","1.5","Q3","1.3","1.1"," 143/233 ","Q3","38.84","0.001","0.148","0.662","44.0","Q3","Q2","25","100"%,"12.6","10.3","25",
"Financial Markets and Portfolio Management","FINANC MARK PORTFOLI","SPRINGER","1934-4554","2373-8529","BUSINESS, FINANCE","ESCI","323","1.5","0.39","51.06"%," 131/233 ","1.8","Q3","1.5","0.1"," 156/233 ","Q3","33.26","0","0.085","0.552","44.0","Q3","Q2","13","92.31"%,"6.4","12.7","12",
"JOURNAL OF FINANCIAL RESEARCH","J FINANC RES-US","WILEY","0270-2592","1475-6803","BUSINESS, FINANCE","SSCI","1,171","1.5","0.36","19.67"%," 131/233 ","2","Q3","1.4","0.2"," 166/233 ","Q3","28.97","0.001","0.124","0.489","44.0","Q3","Q2","50","100"%,"13.2","12.9","50",
"North American Actuarial Journal","N AM ACTUAR J","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1092-0277","2325-0453","BUSINESS, FINANCE","ESCI","920","1.4","0.49","10.63"%," 139/233 ","1.4","Q3","1.3","0.2"," 129/233 ","Q3","44.85","0.001","0.193","0.498","40.6","Q3","Q2","41","100"%,"11.9","10.5","41",
"SIAM Journal on Financial Mathematics","SIAM J FINANC MATH","SIAM PUBLICATIONS","1945-497X","1945-497X","BUSINESS, FINANCE","SSCI","773","1.4","0.46","1.26"%," 139/233 ","1.6","Q3","1.2","0.4"," 137/233 ","Q3","41.42","0.001","0.326","0.794","40.6","Q3","Q2","47","100"%,"6.1","10.7","47",
"Journal of Management Accounting Research","J MANAG ACCOUNT RES","AMER ACCOUNTING ASSOC","1049-2127","1558-8033","BUSINESS, FINANCE","ESCI","994","1.4","0.44","0"%," 139/233 ","2.2","Q2","1.3","1"," 142/233 ","Q3","39.27","0.001","0.26","0.985","40.6","Q3","Q1","26","100"%,"8.8","12.5","26",
"International Journal of Central Banking","INT J CENT BANK","ASSOC INTERNATIONAL JOURNAL CENTRAL BANKING","1815-4654","1815-7556","BUSINESS, FINANCE","SSCI","1,222","1.4","0.37","0"%," 139/233 ","1.9","Q3","1.4","0.3"," 161/233 ","Q3","31.12","0.002","0.443","1.238","40.6","Q3","Q1","50","100"%,"9","8.7","50",
"Asia-Pacific Journal of Accounting & Economics","ASIA-PAC J ACCOUNT E","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1608-1625","2164-2257","BUSINESS, FINANCE","SSCI","778","1.4","0.33","3.7"%," 139/233 ","1.5","Q3","1.4","0.4"," 169/233 ","Q3","27.68","0.001","0.166","0.279","40.6","Q3","Q3","35","100"%,"4.1","10.7","35",
"JOURNAL OF RISK AND UNCERTAINTY","J RISK UNCERTAINTY","SPRINGER","0895-5646","1573-0476","BUSINESS, FINANCE","SSCI","2,893","1.3","0.89","51.35"%," 144/233 ","3.1","Q2","1.2","0.6"," 58/233 ","Q1","75.32","0.002","0.335","1.588","38.4","Q3","Q1","18","100"%,"22.7","12.5","18",
"Journal of the American Taxation Association","J AM TAX ASSOC","AMER ACCOUNTING ASSOC","0198-9073","1558-8017","BUSINESS, FINANCE","ESCI","619","1.3","0.48","0"%," 144/233 ","2.1","Q2","1.1","1.1"," 134/233 ","Q3","42.70","0","0.095","0.965","38.4","Q3","Q1","12","100"%,"9.9","11.6","12",
"Journal of Accounting Auditing and Finance","J ACCOUNT AUDIT FINA","SAGE PUBLICATIONS INC","0148-558X","2160-4061","BUSINESS, FINANCE","ESCI","1,482","1.3","0.46","6.94"%," 144/233 ","2","Q3","1.3","0.1"," 137/233 ","Q3","41.42","0.001","0.225","0.514","38.4","Q3","Q2","39","100"%,"10","12.9","39",
"International Finance","INT FINANC","WILEY","1367-0271","1468-2362","BUSINESS, FINANCE","SSCI","413","1.3","0.41","6"%," 144/233 ","1.2","Q3","1.3","<0.1"," 148/233 ","Q3","36.70","0","0.065","0.318","38.4","Q3","Q3","12","100"%,"9.3","11.8","12",
"Journal of European Real Estate Research","J EUR REAL ESTATE RE","EMERALD GROUP PUBLISHING LTD","1753-9269","1753-9269","BUSINESS, FINANCE","ESCI","280","1.3","0.41","26.67"%," 144/233 ","1.4","Q3","1.2","<0.1"," 148/233 ","Q3","36.70","0","0.058","0.275","38.4","Q3","Q3","17","100"%,"4.7","11.8","17",
"Journal of Banking Regulation","J BANK REGUL","PALGRAVE MACMILLAN LTD","1745-6452","1750-2071","BUSINESS, FINANCE","ESCI","321","1.3","0.4","24.72"%," 144/233 ","1.2","Q3","1.2","0.3"," 152/233 ","Q3","34.98","0","0.058","0.203","38.4","Q3","Q4","19","100"%,"4.5","8.6","19",
"Data Science in Finance and Economics","DATA SCI FINANC ECON","AMER INST MATHEMATICAL SCIENCES-AIMS","N/A","2769-2140","BUSINESS, FINANCE","ESCI","66","1.3","0.32","100"%," 144/233 ","1.3","Q3","1.3","0.3"," 170/233 ","Q3","27.25","0","0.012","0.148","38.4","Q3","Q4","24","91.67"%,"N/A","8.2","22",
"Journal of Financial Management of Property and Construction","J FINANC MANAG PROP","EMERALD GROUP PUBLISHING LTD","1366-4387","1759-8443","BUSINESS, FINANCE","ESCI","443","1.2","0.43","1.32"%," 151/233 ","1.7","Q3","1.1","0.2"," 143/233 ","Q3","38.84","0","0.057","0.262","35.4","Q3","Q3","25","92"%,"6.3","8.3","23",
"Advances in Accounting","ADV ACCOUNT","ELSEVIER","0882-6110","1046-5715","BUSINESS, FINANCE","ESCI","909","1.2","0.42","2.63"%," 151/233 ","1.9","Q3","1.1","0.3"," 145/233 ","Q3","37.98","0","0.105","0.436","35.4","Q3","Q3","23","100"%,"8.8","13.7","23",
"JOURNAL OF MONEY CREDIT AND BANKING","J MONEY CREDIT BANK","WILEY","0022-2879","1538-4616","BUSINESS, FINANCE","SSCI","5,807","1.2","0.4","21.75"%," 151/233 ","1.9","Q3","1.2","0.2"," 152/233 ","Q3","34.98","0.005","1.195","1.504","35.4","Q3","Q1","100","99"%,"14.9","11.3","99",
"Journal of Emerging Market Finance","J EMERG MARK FINANC","SAGE PUBLICATIONS INDIA PVT LTD","0972-6527","0973-0710","BUSINESS, FINANCE","ESCI","257","1.2","0.39","3.92"%," 151/233 ","1.3","Q3","0.9","0.4"," 156/233 ","Q3","33.26","0","0.029","0.173","35.4","Q3","Q4","27","100"%,"6","9.3","27",
"Investment Analysts Journal","INVEST ANAL J","INVESTMENT ANALYSTS SOC SOUTHERN AFRICA","1029-3523","2077-0227","BUSINESS, FINANCE","SSCI","242","1.2","0.38","1.52"%," 151/233 ","1.1","Q4","1.1","0.8"," 159/233 ","Q3","31.97","0","0.032","0.195","35.4","Q3","Q4","27","100"%,"6","10.2","27",
