Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"Borsa Istanbul Review","BORSA ISTANB REV","ELSEVIER","2214-8450","2214-8469","ECONOMICS","SSCI","2,316","6.3","2.19","97.83"%," 28/600 ","6.5","Q1","5.9","2.3"," 24/603 ","Q1","96.10","0.002","0.434","0.908","95.4","Q1","Q2","119","93.28"%,"2.5","8.2","111",
"Transport Policy","TRANSPORT POLICY","ELSEVIER SCI LTD","0967-070X","1879-310X","ECONOMICS","SSCI","12,131","6.3","1.83","23.59"%," 28/600 ","5.9","Q1","5.9","0.9"," 40/603 ","Q1","93.45","0.011","2.514","1.245","95.4","Q1","Q1","230","99.13"%,"5.2","6","228",
"American Economic Journal-Macroeconomics","AM ECON J-MACROECON","AMER ECONOMIC ASSOC","1945-7707","1945-7715","ECONOMICS","SSCI","4,007","6.3","1.82","0"%," 28/600 ","7","Q1","6.1","1.9"," 43/603 ","Q1","92.95","0.016","3.406","9.004","95.4","Q1","Q1","55","100"%,"8.1","9.6","55",
"TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE","TRANSPORT RES A-POL","PERGAMON-ELSEVIER SCIENCE LTD","0965-8564","1879-2375","ECONOMICS","SSCI","20,631","6.3","1.7","26.79"%," 28/600 ","6.9","Q1","5.7","1.1"," 49/603 ","Q1","91.96","0.019","4.076","1.588","95.4","Q1","Q1","279","100"%,"6.1","6.1","279",
"SOCIO-ECONOMIC PLANNING SCIENCES","SOCIO-ECON PLAN SCI","ELSEVIER SCIENCE INC","0038-0121","1873-6041","ECONOMICS","SSCI","5,526","6.2","1.88","16.23"%," 32/600 ","5.9","Q1","5.5","1.8"," 35/603 ","Q1","94.28","0.005","1.113","0.956","94.8","Q1","Q2","294","97.28"%,"2.8","7","286",
"Journal of Financial Stability","J FINANC STABIL","ELSEVIER SCIENCE INC","1572-3089","1878-0962","ECONOMICS","SSCI","4,056","6.1","1.58","14.77"%," 33/600 ","5.4","Q1","5.8","0.5"," 64/603 ","Q1","89.47","0.004","0.885","1.427","94.6","Q1","Q1","69","100"%,"6.3","9.9","69",
"REVIEW OF ECONOMIC STUDIES","REV ECON STUD","OXFORD UNIV PRESS","0034-6527","1467-937X","ECONOMICS","SSCI","19,993","5.9","1.86","15.45"%," 34/600 ","7.7","Q1","5.7","1.3"," 38/603 ","Q1","93.78","0.047","10.311","12.088","94.4","Q1","Q1","109","100"%,"18.9","10.3","109",
"JOURNAL OF ECONOMIC SURVEYS","J ECON SURV","WILEY","0950-0804","1467-6419","ECONOMICS","SSCI","5,598","5.9","1.62","38.71"%," 34/600 ","6.6","Q1","5.8","1"," 58/603 ","Q1","90.46","0.006","1.334","2.453","94.4","Q1","Q1","56","67.86"%,"8.8","7.8","38",
"TRANSPORTATION RESEARCH PART B-METHODOLOGICAL","TRANSPORT RES B-METH","PERGAMON-ELSEVIER SCIENCE LTD","0191-2615","1879-2367","ECONOMICS","SSCI","17,028","5.8","1.48","17.14"%," 36/600 ","7.2","Q1","5.4","1.2"," 76/603 ","Q1","87.48","0.016","3.417","2.28","94.1","Q1","Q1","111","98.2"%,"7.7","7.6","109",
"JOURNAL OF URBAN ECONOMICS","J URBAN ECON","ACADEMIC PRESS INC ELSEVIER SCIENCE","0094-1190","1095-9068","ECONOMICS","SSCI","6,743","5.7","2.3","26.59"%," 37/600 ","5.9","Q1","5.5","0.9"," 23/603 ","Q1","96.27","0.007","1.514","3.344","93.9","Q1","Q1","54","100"%,"13.7","8.4","54",
"Journal of Transport Geography","J TRANSP GEOGR","ELSEVIER SCI LTD","0966-6923","1873-1236","ECONOMICS","SSCI","14,193","5.7","1.76","23.71"%," 37/600 ","6.2","Q1","5.1","1"," 47/603 ","Q1","92.29","0.012","2.671","1.361","93.9","Q1","Q1","191","99.48"%,"6.3","6.3","190",
"American Economic Journal-Economic Policy","AM ECON J-ECON POLIC","AMER ECONOMIC ASSOC","1945-7731","1945-774X","ECONOMICS","SSCI","4,865","5.6","1.69","0"%," 39/600 ","7.3","Q1","5.5","1.2"," 50/603 ","Q1","91.79","0.017","3.63","7.31","93.6","Q1","Q1","63","100"%,"7.1","9.3","63",
"Review of Finance","REV FINANC","OXFORD UNIV PRESS","1572-3097","1573-692X","ECONOMICS","SSCI","4,059","5.6","1.67","18.75"%," 39/600 ","5.8","Q1","5.5","1.1"," 54/603 ","Q1","91.13","0.009","2.057","4.236","93.6","Q1","Q1","38","100"%,"7.1","10.5","38",
"Emerging Markets Review","EMERG MARK REV","ELSEVIER","1566-0141","1873-6173","ECONOMICS","SSCI","3,157","5.6","1.56","9.44"%," 39/600 ","5.2","Q1","5.3","1.6"," 65/603 ","Q1","89.30","0.002","0.489","0.878","93.6","Q1","Q2","94","98.94"%,"5.4","8.3","93",
"Cambridge Journal of Regions Economy and Society","CAMB J REG ECON SOC","OXFORD UNIV PRESS","1752-1378","1752-1386","ECONOMICS","SSCI","2,583","5.6","1.46","44.04"%," 39/600 ","7.4","Q1","4.5","1.3"," 77/603 ","Q1","87.31","0.003","0.729","2.67","93.6","Q1","Q1","39","100"%,"7.1","5.8","39",
"American Economic Journal-Applied Economics","AM ECON J-APPL ECON","AMER ECONOMIC ASSOC","1945-7782","1945-7790","ECONOMICS","SSCI","6,008","5.5","1.91","0"%," 43/600 ","8.5","Q1","5.4","1.5"," 33/603 ","Q1","94.61","0.018","3.967","9.525","92.9","Q1","Q1","56","100"%,"8.4","9.1","56",
"JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT","J ENVIRON ECON MANAG","ACADEMIC PRESS INC ELSEVIER SCIENCE","0095-0696","1096-0449","ECONOMICS","SSCI","10,646","5.5","1.26","29.18"%," 43/600 ","7.1","Q1","5.3","1.2"," 95/603 ","Q1","84.33","0.011","2.472","2.757","92.9","Q1","Q1","102","100"%,"9.4","8.4","102",
"WORLD DEVELOPMENT","WORLD DEV","PERGAMON-ELSEVIER SCIENCE LTD","0305-750X","1873-5991","ECONOMICS","SSCI","30,627","5.4","1.91","35.46"%," 45/600 ","6.5","Q1","5.1","0.7"," 33/603 ","Q1","94.61","0.028","6.228","2.003","92.6","Q1","Q1","245","96.73"%,"8.2","8","237",
"JOURNAL OF ACCOUNTING & ECONOMICS","J ACCOUNT ECON","ELSEVIER","0165-4101","1879-1980","ECONOMICS","SSCI","16,129","5.4","1.77","11.11"%," 45/600 ","9.6","Q1","5.2","2.2"," 46/603 ","Q1","92.45","0.011","2.323","5.914","92.6","Q1","Q1","47","100"%,"14.6","10.7","47",
"Journal of International Financial Markets Institutions & Money","J INT FINANC MARK I","ELSEVIER","1042-4431","1873-0612","ECONOMICS","SSCI","5,154","5.4","1.51","19.41"%," 45/600 ","5.3","Q1","5","1.4"," 70/603 ","Q1","88.47","0.004","0.959","0.955","92.6","Q1","Q2","133","99.25"%,"4.9","8.6","132",
"Journal of Management Science and Engineering","J MANAGE SCI ENG","KEAI PUBLISHING LTD","2096-2320","2589-5532","ECONOMICS","ESCI","566","5.4","1.49","94.9"%," 45/600 ","N/A","N/A","5.2","1.1"," 74/603 ","Q1","87.81","0.001","0.179","N/A","92.6","Q1","N/A","32","96.88"%,"2.5","7.6","31",
"Asian Economic Papers","ASIAN ECON PAP","MIT PRESS","1535-3516","1536-0083","ECONOMICS","SSCI","529","5.3","3.35","3.64"%," 49/600 ","2.7","Q2","5.2","0.2"," 6/603 ","Q1","99.09","0.001","0.124","0.673","91.9","Q1","Q2","17","100"%,"5.6","7.3","17",
"JOURNAL OF HUMAN RESOURCES","J HUM RESOUR","UNIV WISCONSIN PRESS","0022-166X","1548-8004","ECONOMICS","SSCI","6,304","5.3","2.17","20.35"%," 49/600 ","5.2","Q1","5.3","2.5"," 26/603 ","Q1","95.77","0.009","2.064","5.207","91.9","Q1","Q1","60","100"%,"13.3","11.4","60",
"CHINA ECONOMIC REVIEW","CHINA ECON REV","ELSEVIER SCIENCE INC","1043-951X","1873-7781","ECONOMICS","SSCI","7,928","5.2","1.87","4.05"%," 51/600 ","6.2","Q1","4.9","1.3"," 36/603 ","Q1","94.11","0.007","1.512","1.277","91.6","Q1","Q1","143","100"%,"5.6","8.6","143",
"JOURNAL OF DEVELOPMENT ECONOMICS","J DEV ECON","ELSEVIER","0304-3878","1872-6089","ECONOMICS","SSCI","14,463","5.1","1.51","25.8"%," 52/600 ","6.1","Q1","4.9","0.6"," 70/603 ","Q1","88.47","0.016","3.461","3.059","91.4","Q1","Q1","156","100"%,"10.9","9","156",
"Structural Change and Economic Dynamics","STRUCT CHANGE ECON D","ELSEVIER","0954-349X","1873-6017","ECONOMICS","SSCI","4,632","5","1.87","14.2"%," 53/600 ","5.3","Q1","4.8","1.6"," 36/603 ","Q1","94.11","0.005","1.09","0.993","91.3","Q1","Q2","153","98.69"%,"3.5","8.6","151",
"Equilibrium-Quarterly Journal of Economics and Economic Policy","EQUILIBRIUM","INST ECONOMIC RESEARCH-POLAND","1689-765X","2353-3293","ECONOMICS","ESCI","626","5","1.64","96.19"%," 53/600 ","3","Q1","4.3","0.8"," 57/603 ","Q1","90.63","0.001","0.114","0.351","91.3","Q1","Q3","35","94.29"%,"2.7","4.4","33",
"Annual Review of Financial Economics","ANNU REV FINANC ECON","ANNUAL REVIEWS","1941-1367","1941-1375","ECONOMICS","SSCI","1,453","5","1.15","39.73"%," 53/600 ","5.8","Q1","4.8","0.6"," 109/603 ","Q1","82.01","0.004","0.774","4.728","91.3","Q1","Q1","31","0"%,"8.4","5.6","0",
"JOURNAL OF PUBLIC ECONOMICS","J PUBLIC ECON","ELSEVIER SCIENCE SA","0047-2727","0047-2727","ECONOMICS","SSCI","15,833","4.9","2.32","23.33"%," 56/600 ","6.5","Q1","4.7","0.5"," 22/603 ","Q1","96.43","0.025","5.445","4.482","90.8","Q1","Q1","163","100"%,"12.6","9.4","163",
"VALUE IN HEALTH","VALUE HEALTH","ELSEVIER SCIENCE INC","1098-3015","1524-4733","ECONOMICS","SSCI","13,833","4.9","1.4","42.43"%," 56/600 ","5.6","Q1","4.6","1.4"," 83/603 ","Q1","86.32","0.016","3.528","2.077","90.8","Q1","Q1","191","83.77"%,"7.4","7.9","160",
"Technological and Economic Development of Economy","TECHNOL ECON DEV ECO","VILNIUS GEDIMINAS TECH UNIV","2029-4913","2029-4921","ECONOMICS","SSCI","2,617","4.8","1.83","98.24"%," 58/600 ","4","Q1","4.5","0.9"," 40/603 ","Q1","93.45","0.002","0.405","0.562","90.4","Q1","Q2","62","91.94"%,"4.7","5.3","57",
"International Review of Economics & Finance","INT REV ECON FINANC","ELSEVIER","1059-0560","1873-8036","ECONOMICS","SSCI","7,677","4.8","1.39","6.49"%," 58/600 ","4.2","Q1","4.5","1.3"," 84/603 ","Q1","86.15","0.007","1.569","0.75","90.4","Q1","Q2","391","99.49"%,"3.5","8.9","389",
"Research in Transportation Economics","RES TRANSP ECON","ELSEVIER SCI LTD","0739-8859","1875-7979","ECONOMICS","SSCI","3,003","4.6","1.26","21.91"%," 60/600 ","3.7","Q1","4.4","0.4"," 95/603 ","Q1","84.33","0.003","0.62","0.754","90.1","Q1","Q2","102","99.02"%,"5.2","6","101",
"Review of International Organizations","REV INT ORGAN","SPRINGER","1559-7431","1559-744X","ECONOMICS","SSCI","1,795","4.5","1.59","51.76"%," 61/600 ","6.9","Q1","3.9","0.6"," 61/603 ","Q1","89.97","0.004","0.833","3.012","89.9","Q1","Q1","27","100"%,"4.9","8.1","27",
"Asian Economic Policy Review","ASIAN ECON POLICY R","WILEY","1832-8105","1748-3131","ECONOMICS","SSCI","502","4.5","1.42","18.92"%," 61/600 ","4.1","Q1","4.5","4.8"," 79/603 ","Q1","86.98","0.001","0.113","0.96","89.9","Q1","Q2","11","63.64"%,"3.7","3.5","7",
"ECONOMIC POLICY","ECON POLICY","OXFORD UNIV PRESS","0266-4658","1468-0327","ECONOMICS","SSCI","1,974","4.5","1.36","26.67"%," 61/600 ","5.7","Q1","4.5","0.3"," 88/603 ","Q1","85.49","0.003","0.557","3.331","89.9","Q1","Q1","16","100"%,"11.1","6.7","16",
"INFORMATION ECONOMICS AND POLICY","INF ECON POLICY","ELSEVIER","0167-6245","1873-5975","ECONOMICS","SSCI","1,166","4.5","1.12","19.28"%," 61/600 ","3.6","Q1","4.3","0.2"," 116/603 ","Q1","80.85","0.001","0.301","1.358","89.9","Q1","Q1","24","100"%,"8.1","8.8","24",
"AGRICULTURAL ECONOMICS","AGR ECON-BLACKWELL","WILEY","0169-5150","1574-0862","ECONOMICS","SSCI","5,264","4.5","1.05","39.36"%," 61/600 ","4.7","Q1","4.3","0.8"," 124/603 ","Q1","79.52","0.003","0.596","1.081","89.9","Q1","Q1","48","100"%,"9.9","8.4","48",
"China Agricultural Economic Review","CHINA AGR ECON REV","EMERALD GROUP PUBLISHING LTD","1756-137X","1756-1388","ECONOMICS","SSCI","1,621","4.4","1.61","5.26"%," 66/600 ","4.9","Q1","4.3","0.8"," 59/603 ","Q1","90.30","0.001","0.312","0.766","89.1","Q1","Q2","30","100"%,"4.5","6.6","30",
"Journal of Competitiveness","J COMPETITIVENESS","UNIV TOMASE BATI & ZLINE, FAK MANAGEMENTU EKONOMIKY","1804-171X","1804-1728","ECONOMICS","SSCI","1,045","4.4","1.42","89.52"%," 66/600 ","3.7","Q1","4","1"," 79/603 ","Q1","86.98","0.001","0.181","0.499","89.1","Q1","Q3","44","97.73"%,"3.5","5.3","43",
"PHARMACOECONOMICS","PHARMACOECONOMICS","ADIS INT LTD","1170-7690","1179-2027","ECONOMICS","SSCI","6,578","4.4","1.23","63.18"%," 66/600 ","4.8","Q1","4.1","0.8"," 98/603 ","Q1","83.83","0.007","1.646","1.751","89.1","Q1","Q1","103","65.05"%,"7.8","6.5","67",
"REGIONAL STUDIES","REG STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0034-3404","1360-0591","ECONOMICS","SSCI","10,814","4.4","1.04","37.06"%," 66/600 ","5","Q1","3.7","1"," 127/603 ","Q1","79.02","0.009","2.024","1.359","89.1","Q1","Q1","158","98.73"%,"7.8","7.6","156",
"Journal of Behavioral and Experimental Finance","J BEHAV EXP FINANC","ELSEVIER","2214-6350","2214-6369","ECONOMICS","SSCI","2,890","4.3","1.75","17.95"%," 70/600 ","5.8","Q1","4.1","1.6"," 48/603 ","Q1","92.12","0.005","1.073","1.453","88.4","Q1","Q1","63","95.24"%,"3.6","8.7","60",
"JOURNAL OF MONETARY ECONOMICS","J MONETARY ECON","ELSEVIER","0304-3932","1873-1295","ECONOMICS","SSCI","11,211","4.3","1.32","14.13"%," 70/600 ","5.3","Q1","4.1","1"," 90/603 ","Q1","85.16","0.019","4.231","5.5","88.4","Q1","Q1","74","100"%,"16","8.2","74",
"Annual Review of Resource Economics","ANNU REV RESOUR ECON","ANNUAL REVIEWS","1941-1340","1941-1359","ECONOMICS","SSCI","1,809","4.2","1.59","40.26"%," 72/600 ","7.4","Q1","4","1.1"," 61/603 ","Q1","89.97","0.003","0.621","2.712","88.1","Q1","Q1","23","95.65"%,"5.8","7.4","22",
"ECONOMIC MODELLING","ECON MODEL","ELSEVIER","0264-9993","1873-6122","ECONOMICS","SSCI","14,933","4.2","1.43","13.11"%," 72/600 ","4.2","Q1","3.7","1.3"," 78/603 ","Q1","87.15","0.01","2.253","0.778","88.1","Q1","Q2","370","100"%,"6.3","9.5","370",
"AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","AM J AGR ECON","WILEY","0002-9092","1467-8276","ECONOMICS","SSCI","8,884","4.2","1.38","37.2"%," 72/600 ","4.5","Q1","4","0.6"," 86/603 ","Q1","85.82","0.006","1.275","1.575","88.1","Q1","Q1","65","100"%,"13.9","9","65",
"Review of Economics of the Household","REV ECON HOUSEHOLD","SPRINGER","1569-5239","1573-7152","ECONOMICS","SSCI","1,555","4.1","1.41","38.56"%," 75/600 ","3.4","Q1","3.8","0.5"," 81/603 ","Q1","86.65","0.003","0.691","1.392","87.6","Q1","Q1","48","97.92"%,"4.1","8.9","47",
"ECONOMY AND SOCIETY","ECON SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0308-5147","1469-5766","ECONOMICS","SSCI","3,170","4","1.49","46.32"%," 76/600 ","5.1","Q1","3.9","0.5"," 74/603 ","Q1","87.81","0.003","0.583","2.446","87.4","Q1","Q1","28","100"%,"15.3","7.9","28",
"Agricultural and Food Economics","AGR FOOD ECON","SPRINGERNATURE","N/A","2193-7532","ECONOMICS","SSCI","837","4","1.38","99.08"%," 76/600 ","N/A","N/A","3.8","0.6"," 86/603 ","Q1","85.82","0.001","0.162","N/A","87.4","Q1","N/A","49","93.88"%,"4.5","6.7","46",
"Forest Policy and Economics","FOREST POLICY ECON","ELSEVIER","1389-9341","1872-7050","ECONOMICS","SSCI","6,903","4","1.27","32.84"%," 76/600 ","4","Q1","3.3","0.8"," 93/603 ","Q1","84.66","0.006","1.275","0.794","87.4","Q1","Q2","145","95.17"%,"5.7","7.4","138",
"Journal of the Knowledge Economy","J KNOWL ECON","SPRINGER","1868-7865","1868-7873","ECONOMICS","SSCI","3,712","4","1.17","16.84"%," 76/600 ","3.6","Q1","2.8","0.7"," 104/603 ","Q1","82.84","0.002","0.536","0.414","87.4","Q1","Q3","561","98.75"%,"2.8","6.7","554",
"Economic Change and Restructuring","ECON CHANG RESTRUCT","SPRINGER","1573-9414","1574-0277","ECONOMICS","SSCI","1,389","4","1.13","8.11"%," 76/600 ","3.9","Q1","3.7","1.9"," 111/603 ","Q1","81.67","0.001","0.271","0.562","87.4","Q1","Q2","101","100"%,"2.6","5.7","101",
"Eurasian Business Review","EURASIAN BUS REV","SPRINGER HEIDELBERG","1309-4297","2147-4281","ECONOMICS","SSCI","788","4","0.98","41.1"%," 76/600 ","3.6","Q1","3.8","1.1"," 139/603 ","Q1","77.03","0.001","0.163","0.632","87.4","Q1","Q2","23","100"%,"4.3","10.6","23",
