,ISSN,Field,Journal Title,Publisher Name,Scopus,Web of Science™,AJG 2021,AJG 2018,AJG 2015,ABS 2010,Journal Citation Reports™ rank,SNIPrank,SJRrank,CiteScore rank,Journal name,JCR Abbreviation,ISSN.y,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles,eISSN,ISSN.x,Full Name
1061,1741-5144,PUB SEC,International Journal of Healthcare Technology and Man- agement,Inderscience Publishers,scopus,,1,1,1,1.0,,46.0,42.0,45.0,International Journal of Healthcare Technology and Management,INT J HEALTHC TECHNO,1368-2156,HEALTH CARE SCIENCES & SERVICES - ESCI,104,,0.11,0%,,,,,,147/159,Q4,7.86,0.0,0.013,0.142,,,Q3,9.0,100%,9.4,7.6,9.0,,,Public Sector
1062,1758-7247,PUB SEC,Journal of Health Organization and Management,Emerald,scopus,WoS,1,1,1,1.0,,34.0,34.0,28.0,Journal of Health Organization and Management,J HEALTH ORGAN MANAG,1477-7266,HEALTH POLICY & SERVICES - SSCI,1531,2.059,0.55,18.18%,68/88,2.231,Q3,1.672,0.386,88/114,Q4,23.25,0.001,0.258,0.417,23.3,Q4,Q4,101.0,87.13%,6.4,7.7,88.0,,,Public Sector
1063,1479-1854,PUB SEC,Journal of Public Affairs,Wiley-Blackwell,scopus,,1,,,,,40.0,,43.0,Journal of Public Affairs,J PUBLIC AFF,1472-3891,PUBLIC ADMINISTRATION - ESCI,1943,,0.64,4.06%,,,,,,46/85,Q3,46.47,0.002,0.477,0.297,,,Q2,197.0,99.49%,1.7,8.4,196.0,,,Public Sector
1064,2328-9643,PUB SEC,Journal of Public Affairs Education,Taylor & Francis,scopus,,1,,,,,,,,JOURNAL OF PUBLIC AFFAIRS EDUCATION,J PUBLIC AFF EDUC,1523-6803,EDUCATION & EDUCATIONAL RESEARCH - ESCI,675,,1.16,2.7%,,,,,,202/743,Q2,72.88,0.001,0.139,0.508,,,Q1,23.0,95.65%,7.5,9.9,22.0,,,Public Sector
1065,1751-1887,PUB SEC,Leadership in Health Services,Emerald,scopus,,1,,,,,39.0,,39.0,Leadership in Health Services,LEADERSH HEALTH SERV,1751-1879,HEALTH POLICY & SERVICES - ESCI,716,,0.66,6.09%,,,,,,72/114,Q3,37.28,0.001,0.121,0.344,,,Q2,45.0,93.33%,6.1,7.6,42.0,,,Public Sector
1066,2047-8720,PUB SEC,Teaching Public Administration,SAGE,scopus,,1,,,,,,,,Teaching Public Administration,TEACH PUBLIC ADMIN,0144-7394,EDUCATION & EDUCATIONAL RESEARCH - ESCI,188,,0.64,11.76%,,,,,,381/743,Q3,48.79,0.0,0.064,0.274,,,Q2,23.0,100%,3.7,9.7,23.0,,,Public Sector
1067,1873-7722,SECTOR,Annals of Tourism Research,Elsevier,scopus,WoS,4,4,4,4.0,4.0,7.0,5.0,11.0,ANNALS OF TOURISM RESEARCH,ANN TOURISM RES,0160-7383,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",21475,12.853,3.33,13.14%,3/58,13.44,Q1,11.456,4.942,1/132,Q1,99.62,0.011,2.352,2.485,95.69,Q1,Q1,139.0,95.68%,10.3,8.0,133.0,,,Sector Studies
1068,1552-7379,SECTOR,Journal of Service Research,SAGE,scopus,WoS,4,4,4,3.0,1.0,2.0,1.0,1.0,JOURNAL OF SERVICE RESEARCH,J SERV RES-US,1094-6705,BUSINESS - SSCI,8180,10.052,2.09,27.03%,23/154,12.125,Q1,9.182,2.206,17/296,Q1,94.43,0.004,0.885,2.71,85.39,Q1,Q1,34.0,97.06%,10.7,9.6,33.0,,,Sector Studies
1069,1552-6763,SECTOR,Journal of Travel Research,SAGE,scopus,WoS,4,4,4,3.0,5.0,4.0,2.0,5.0,Journal of Travel Research,J TRAVEL RES,0047-2875,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",14718,8.933,2.37,11.19%,9/58,10.508,Q1,7.839,1.88,6/132,Q1,95.83,0.009,1.926,1.844,85.34,Q1,Q1,117.0,98.29%,8.9,8.4,115.0,,,Sector Studies
1070,1879-3193,SECTOR,Tourism Management,Elsevier,scopus,WoS,4,4,4,4.0,2.0,1.0,4.0,2.0,Tourism Management,TOURISM MANAGE,0261-5177,ENVIRONMENTAL STUDIES - SSCI,38152,12.879,3.02,4.84%,5/128,13.761,Q1,12.185,3.67,3/171,Q1,98.54,0.022,4.811,2.268,96.48,Q1,Q1,209.0,97.61%,7.7,8.8,204.0,,,Sector Studies
