,ISSN,Field,Journal Title,Publisher Name,Scopus,Web of Science™,AJG 2021,AJG 2018,AJG 2015,ABS 2010,Journal Citation Reports™ rank,SNIPrank,SJRrank,CiteScore rank,Journal name,JCR Abbreviation,ISSN.y,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles,eISSN,ISSN.x,Full Name
0,1558-7967,ACCOUNT,Accounting Review,American Accounting Association,scopus,WoS,4*,4*,4*,4.0,4.0,3.0,3.0,4.0,ACCOUNTING REVIEW,ACCOUNT REV,0001-4826,"BUSINESS, FINANCE - SSCI",18165,5.182,1.77,0%,14/111,7.818,Q1,4.852,1.388,16/221,Q1,92.99,0.015,3.296,4.132,87.84,Q1,Q1,103.0,100%,12.2,12.4,103.0,,,Accounting
1,1873-6289,ACCOUNT,"Accounting, Organizations and Society",Elsevier,scopus,WoS,4*,4*,4*,4.0,5.0,5.0,6.0,5.0,ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,0361-3682,"BUSINESS, FINANCE - SSCI",9060,4.114,1.55,7.89%,28/111,5.688,Q1,3.937,1.057,22/221,Q1,90.27,0.004,0.766,1.988,75.23,Q2,Q1,35.0,100%,14.9,12.9,35.0,,,Accounting
2,1879-1980,ACCOUNT,Journal of Accounting and Economics,Elsevier,scopus,WoS,4*,4*,4*,4.0,1.0,1.0,2.0,1.0,JOURNAL OF ACCOUNTING & ECONOMICS,J ACCOUNT ECON,0165-4101,"BUSINESS, FINANCE - SSCI",15496,7.293,2.29,4%,7/111,9.901,Q1,6.867,1.0,9/221,Q1,96.15,0.011,2.372,5.728,94.14,Q1,Q1,50.0,100%,14.9,11.0,50.0,,,Accounting
3,1475-679X,ACCOUNT,Journal of Accounting Research,Wiley-Blackwell,scopus,WoS,4*,4*,4*,4.0,2.0,2.0,1.0,2.0,JOURNAL OF ACCOUNTING RESEARCH,J ACCOUNT RES,0021-8456,"BUSINESS, FINANCE - SSCI",12187,4.446,1.8,8.4%,22/111,9.043,Q1,4.231,0.5,15/221,Q1,93.44,0.01,2.133,6.415,80.63,Q1,Q1,54.0,100%,16.3,11.2,54.0,,,Accounting
4,1911-3846,ACCOUNT,Contemporary Accounting Research,Wiley-Blackwell,scopus,WoS,4,4,4,3.0,6.0,6.0,4.0,7.0,CONTEMPORARY ACCOUNTING RESEARCH,CONTEMP ACCOUNT RES,0823-9150,"BUSINESS, FINANCE - SSCI",7501,4.041,1.43,3.86%,29/111,5.046,Q1,3.619,0.716,29/221,Q1,87.1,0.008,1.827,2.19,74.32,Q2,Q1,88.0,98.86%,10.1,11.1,87.0,,,Accounting
5,1573-7136,ACCOUNT,Review of Accounting Studies,Springer Nature,scopus,WoS,4,4,4,4.0,8.0,8.0,5.0,12.0,REVIEW OF ACCOUNTING STUDIES,REV ACCOUNT STUD,1380-6653,"BUSINESS, FINANCE - SSCI",4168,4.011,1.44,16.56%,30/111,5.692,Q1,3.609,0.451,27/221,Q1,88.01,0.007,1.475,3.271,73.42,Q2,Q1,71.0,98.59%,8.8,11.5,70.0,,,Accounting
6,1467-6281,ACCOUNT,Abacus,Wiley-Blackwell,scopus,WoS,3,3,3,3.0,16.0,34.0,26.0,26.0,Abacus-A Journal of Accounting Finance and Business Studies,ABACUS,0001-3072,"BUSINESS, FINANCE - SSCI",1269,2.06,0.96,14.12%,74/111,3.243,Q3,1.8,0.543,61/221,Q2,72.62,0.001,0.147,0.627,33.78,Q3,Q3,35.0,100%,10.6,12.1,35.0,,,Accounting
7,2159-4260,ACCOUNT,Accounting and Business Research,Taylor & Francis,scopus,WoS,3,3,3,3.0,11.0,17.0,17.0,19.0,ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,0001-4788,"BUSINESS, FINANCE - SSCI",1979,2.326,1.01,29.03%,67/111,3.606,Q2,1.953,0.421,56/221,Q2,74.89,0.001,0.282,0.769,40.09,Q3,Q3,38.0,97.37%,9.5,10.8,37.0,,,Accounting
8,1467-6303,ACCOUNT,Accounting Forum,Elsevier,scopus,WoS,3,3,3,3.0,,16.0,22.0,16.0,Accounting Forum,ACCOUNT FORUM,0155-9982,"BUSINESS, FINANCE - SSCI",1575,4.0,1.17,19.7%,31/111,4.255,Q2,3.583,0.5,39/221,Q1,82.58,0.001,0.152,0.701,72.52,Q2,Q3,30.0,96.67%,9.7,10.3,29.0,,,Accounting
9,1558-7975,ACCOUNT,Accounting Horizons,American Accounting Association,scopus,WoS,3,3,3,3.0,12.0,15.0,15.0,15.0,Accounting Horizons,ACCOUNT HORIZ,0888-7993,"BUSINESS, FINANCE - SSCI",3128,2.157,0.86,0%,72/111,3.364,Q2,2.071,0.282,74/221,Q2,66.74,0.002,0.451,1.339,35.59,Q3,Q2,39.0,97.44%,11.8,10.4,38.0,,,Accounting
10,1758-4205,ACCOUNT,"Accounting, Auditing and Accountability Journal",Emerald,scopus,WoS,3,3,3,3.0,,13.0,9.0,6.0,Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,0951-3574,"BUSINESS, FINANCE - SSCI",7052,4.893,1.59,11.18%,18/111,5.701,Q1,3.762,1.233,20/221,Q1,91.18,0.004,0.776,0.916,84.23,Q1,Q2,116.0,97.41%,8.7,9.8,113.0,,,Accounting
11,1558-7991,ACCOUNT,Auditing,American Accounting Association,scopus,WoS,3,3,3,2.0,7.0,7.0,7.0,8.0,AUDITING-A JOURNAL OF PRACTICE & THEORY,AUDITING-J PRACT TH,0278-0380,"BUSINESS, FINANCE - SSCI",3898,3.076,1.06,0%,46/111,4.016,Q2,2.937,0.524,49/221,Q1,78.05,0.003,0.575,1.506,59.01,Q2,Q1,21.0,100%,10.4,11.5,21.0,,,Accounting
12,1558-8009,ACCOUNT,Behavioral Research in Accounting,American Accounting Association,scopus,,3,3,3,3.0,,27.0,24.0,32.0,Behavioral Research in Accounting,BEHAV RES ACCOUNT,1050-4753,"BUSINESS, FINANCE - ESCI",678,,0.81,0%,,,,,,78/221,Q2,64.93,0.001,0.163,1.053,,,Q1,6.0,100%,9.3,10.7,6.0,,,Accounting
13,1095-8347,ACCOUNT,British Accounting Review,Elsevier,scopus,WoS,3,3,3,3.0,,9.0,18.0,9.0,British Accounting Review,BRIT ACCOUNT REV,0890-8389,"BUSINESS, FINANCE - SSCI",3094,4.761,1.93,3.6%,19/111,6.684,Q1,4.592,1.625,13/221,Q1,94.34,0.002,0.405,1.16,83.33,Q1,Q2,40.0,100%,7.5,13.0,40.0,,,Accounting
14,1095-9955,ACCOUNT,Critical Perspectives on Accounting,Elsevier,scopus,WoS,3,3,3,3.0,,14.0,10.0,10.0,Critical Perspectives on Accounting,CRIT PERSPECT ACCOUN,1045-2354,"BUSINESS, FINANCE - SSCI",3660,5.538,1.75,7.21%,13/111,5.096,Q1,4.954,3.37,17/221,Q1,92.53,0.002,0.376,1.04,88.74,Q1,Q2,46.0,100%,8.4,12.5,46.0,,,Accounting
15,1468-4497,ACCOUNT,European Accounting Review,Taylor & Francis,scopus,WoS,3,3,3,3.0,10.0,11.0,14.0,13.0,European Accounting Review,EUR ACCOUNT REV,0963-8180,"BUSINESS, FINANCE - SSCI",2613,2.845,1.0,17.26%,52/111,3.433,Q2,2.664,0.269,57/221,Q2,74.43,0.002,0.374,0.853,53.6,Q2,Q2,52.0,90.38%,11.2,11.7,47.0,,,Accounting
16,1468-0408,ACCOUNT,Financial Accountability and Management,Wiley-Blackwell,scopus,,3,3,3,3.0,,,,,Financial Accountability & Management,FINANC ACCOUNT MANAG,0267-4424,"BUSINESS, FINANCE - ESCI",1151,,0.81,31.43%,,,,,,78/221,Q2,64.93,0.001,0.134,0.5,,,Q1,38.0,84.21%,8.6,10.4,32.0,,,Accounting
17,1873-2070,ACCOUNT,Journal of Accounting and Public Policy,Elsevier,scopus,WoS,3,3,3,3.0,9.0,10.0,12.0,11.0,JOURNAL OF ACCOUNTING AND PUBLIC POLICY,J ACCOUNT PUBLIC POL,0278-4254,"BUSINESS, FINANCE - SSCI",3457,3.629,1.21,6.42%,35/111,5.096,Q1,3.419,0.426,36/221,Q1,83.94,0.002,0.334,1.122,68.92,Q2,Q2,47.0,97.87%,10.7,10.8,46.0,,,Accounting
18,1468-5957,ACCOUNT,Journal of Business Finance and Accounting,Wiley-Blackwell,scopus,WoS,3,3,3,3.0,14.0,19.0,16.0,21.0,Journal of Business Finance & Accounting,J BUS FINAN ACCOUNT,0306-686X,"BUSINESS, FINANCE - SSCI",3537,2.709,0.89,7.47%,57/111,3.251,Q2,2.155,0.5,73/221,Q2,67.19,0.002,0.424,0.842,49.1,Q3,Q3,64.0,100%,12.1,12.4,64.0,,,Accounting
19,1558-8017,ACCOUNT,Journal of the American Taxation Association,American Accounting Association,scopus,,3,3,3,,,41.0,13.0,39.0,Journal of the American Taxation Association,J AM TAX ASSOC,0198-9073,"BUSINESS, FINANCE - ESCI",572,,0.74,0%,,,,,,88/221,Q2,60.41,0.001,0.174,1.642,,,Q1,12.0,100%,8.5,10.5,12.0,,,Accounting
20,1096-1224,ACCOUNT,Management Accounting Research,Elsevier,scopus,WoS,3,3,3,3.0,3.0,4.0,8.0,3.0,Management Accounting Research,MANAGE ACCOUNT RES,1044-5005,"BUSINESS, FINANCE - SSCI",2945,4.344,1.04,6.25%,24/111,5.925,Q1,4.094,0.5,53/221,Q1,76.24,0.001,0.24,1.263,78.83,Q1,Q2,16.0,100%,11.6,13.7,16.0,,,Accounting
21,1467-629X,ACCOUNT,Accounting and Finance,Wiley-Blackwell,scopus,WoS,2,2,2,2.0,15.0,23.0,30.0,25.0,Accounting and Finance,ACCOUNT FINANC,0810-5391,"BUSINESS, FINANCE - SSCI",2884,2.473,0.92,1.5%,61/111,2.648,Q3,2.068,0.831,69/221,Q2,69.0,0.002,0.487,0.458,45.5,Q3,Q4,178.0,95.51%,4.9,10.7,170.0,,,Accounting
22,1744-9499,ACCOUNT,Accounting in Europe,Taylor & Francis,scopus,,2,2,2,1.0,,45.0,39.0,41.0,Accounting in Europe,ACCOUNT EUR,1744-9480,"BUSINESS, FINANCE - ESCI",388,,0.73,11.36%,,,,,,91/221,Q2,59.05,0.0,0.086,0.443,,,Q1,13.0,100%,5.2,9.1,13.0,,,Accounting
23,2152-2820,ACCOUNT,"Accounting, Economics and Law: A Convivium",Walter de Gruyter,scopus,,2,2,,,,,,,Accounting Economics and Law-A Convivium,ACCOUNT ECON LAW,2194-6051,"BUSINESS, FINANCE - ESCI",169,,0.39,3.08%,,,,,,160/221,Q3,27.83,0.0,0.018,0.105,,,Q4,35.0,100%,4.6,8.4,35.0,,,Accounting
24,1046-5715,ACCOUNT,Advances in Accounting,Elsevier,scopus,,2,2,2,,,,,,Advances in Accounting,ADV ACCOUNT,0882-6110,"BUSINESS, FINANCE - ESCI",915,,0.57,1.49%,,,,,,117/221,Q3,47.29,0.001,0.109,0.337,,,Q2,23.0,100%,7.3,11.5,23.0,,,Accounting
25,2164-2257,ACCOUNT,Asia-Pacific Journal of Accounting and Economics,Taylor & Francis,scopus,WoS,2,2,2,,19.0,51.0,52.0,50.0,Asia-Pacific Journal of Accounting & Economics,ASIA-PAC J ACCOUNT E,1608-1625,"BUSINESS, FINANCE - SSCI",545,1.137,0.37,1.39%,98/111,1.357,Q4,1.043,0.442,165/221,Q3,25.57,0.0,0.104,0.228,12.16,Q4,Q4,77.0,100%,4.6,11.8,77.0,,,Accounting
26,1758-8863,ACCOUNT,Asian Review of Accounting,Emerald,scopus,,2,2,2,,,32.0,44.0,44.0,Asian Review of Accounting,ASIAN REV ACCOUNT,1321-7348,"BUSINESS, FINANCE - ESCI",540,,0.54,1.11%,,,,,,125/221,Q3,43.67,0.0,0.074,0.261,,,Q2,26.0,100%,5.8,10.7,26.0,,,Accounting
27,1835-2561,ACCOUNT,Australian Accounting Review,Wiley-Blackwell,scopus,WoS,2,2,2,,17.0,37.0,29.0,38.0,Australian Accounting Review,AUST ACCOUNT REV,1035-6908,"BUSINESS, FINANCE - SSCI",1150,2.68,0.95,4.12%,58/111,2.631,Q3,2.613,1.682,62/221,Q2,72.17,0.001,0.14,0.391,48.2,Q3,Q4,22.0,86.36%,7.2,9.5,19.0,,,Accounting
28,1755-3091,ACCOUNT,China Journal of Accounting Research,Elsevier,scopus,,2,2,,,,29.0,43.0,43.0,China Journal of Accounting Research,CHINA J ACCOUNT RES,1755-3091,"BUSINESS, FINANCE - ESCI",534,,0.93,100%,,,,,,68/221,Q2,69.46,0.001,0.115,0.6,,,Q1,22.0,100%,4.8,9.3,22.0,,,Accounting
29,1936-1270,ACCOUNT,Current Issues in Auditing,American Accounting Association,scopus,,2,2,2,,,,,,Current Issues in Auditing,CURR ISS AUDIT,1936-1270,"BUSINESS, FINANCE - ESCI",183,,0.39,97.14%,,,,,,160/221,Q3,27.83,0.0,0.073,0.57,,,Q1,8.0,87.5%,6.2,7.8,7.0,,,Accounting
30,1758-9037,ACCOUNT,International Journal of Accounting and Information Man- agement,Emerald,scopus,,2,2,2,,,35.0,41.0,34.0,International Journal of Accounting and Information Management,INT J ACCOUNT INF MA,1834-7649,MANAGEMENT - ESCI,819,,1.89,0.91%,,,,,,33/393,Q1,91.73,0.001,0.146,0.479,,,Q1,31.0,100%,2.7,10.7,31.0,,,Accounting
31,1873-4723,ACCOUNT,International Journal of Accounting Information Systems,Elsevier,scopus,WoS,2,2,2,1.0,,12.0,25.0,14.0,International Journal of Accounting Information Systems,INT J ACCOUNT INF SY,1467-0895,BUSINESS - SSCI,1147,5.111,1.34,9.43%,75/154,5.698,Q2,4.778,0.824,61/296,Q1,79.56,0.001,0.193,1.1,51.62,Q2,Q2,17.0,100%,7.5,9.8,17.0,,,Accounting
32,1099-1123,ACCOUNT,International Journal of Auditing,Wiley-Blackwell,scopus,WoS,2,2,2,2.0,,31.0,31.0,27.0,INTERNATIONAL JOURNAL OF AUDITING,INT J AUDIT,1090-6738,"BUSINESS, FINANCE - SSCI",1079,2.345,0.7,11.11%,64/111,2.649,Q3,2.055,0.543,97/221,Q2,56.33,0.001,0.144,0.527,42.79,Q3,Q3,35.0,88.57%,9.0,11.1,31.0,,,Accounting
33,1746-6539,ACCOUNT,International Journal of Disclosure and Governance,Springer Nature,scopus,,2,2,2,,,47.0,53.0,48.0,International Journal of Disclosure and Governance,INT J DISCL GOV,1741-3591,MANAGEMENT - ESCI,330,,0.39,3.95%,,,,,,271/393,Q3,31.17,0.0,0.045,0.213,,,Q3,31.0,100%,5.8,10.6,31.0,,,Accounting
34,2042-1176,ACCOUNT,Journal of Accounting in Emerging Economies,Emerald,scopus,,2,2,2,,,,,,Journal of Accounting in Emerging Economies,J ACCOUNT EMERG ECON,2042-1168,"BUSINESS, FINANCE - ESCI",675,,1.07,1.75%,,,,,,46/221,Q1,79.41,0.001,0.108,0.398,,,Q2,51.0,92.16%,3.6,9.6,47.0,,,Accounting
35,1815-5669,ACCOUNT,Journal of Contemporary Accounting and Economics,Elsevier,scopus,WoS,2,2,2,,,30.0,34.0,28.0,Journal of Contemporary Accounting & Economics,J CONTEMP ACCOUNT EC,1815-5669,"BUSINESS, FINANCE - SSCI",807,2.944,0.94,5.95%,48/111,3.798,Q2,2.704,0.667,66/221,Q2,70.36,0.001,0.137,0.591,57.21,Q2,Q3,30.0,100%,5.4,11.8,30.0,,,Accounting
36,1558-8025,ACCOUNT,Journal of International Accounting Research,American Accounting Association,scopus,,2,2,2,2.0,,33.0,32.0,37.0,Journal of International Accounting Research,J INT ACCOUNT RES,1542-6297,"BUSINESS, FINANCE - ESCI",389,,0.4,0%,,,,,,158/221,Q3,28.73,0.0,0.074,0.392,,,Q2,17.0,100%,6.7,11.7,17.0,,,Accounting
37,1467-646X,ACCOUNT,Journal of International Financial Management and Ac- counting,Wiley-Blackwell,scopus,WoS,2,2,2,2.0,13.0,24.0,35.0,22.0,Journal of International Financial Management & Accounting,J INT FIN MANAG ACC,0954-1314,"BUSINESS, FINANCE - SSCI",679,2.808,0.79,9.3%,54/111,2.902,Q3,2.692,0.765,81/221,Q2,63.57,0.0,0.058,0.467,51.8,Q2,Q4,17.0,100%,10.3,9.3,17.0,,,Accounting
38,1558-8033,ACCOUNT,Journal of Management Accounting Research,American Accounting Association,scopus,,2,2,2,2.0,,36.0,19.0,33.0,Journal of Management Accounting Research,J MANAG ACCOUNT RES,1049-2127,"BUSINESS, FINANCE - ESCI",879,,0.68,0%,,,,,,101/221,Q2,54.52,0.001,0.215,0.848,,,Q1,29.0,96.55%,7.3,13.2,28.0,,,Accounting
39,2059-190X,ACCOUNT,Journal of Tax Administration,Tax Administration Research Centre,,,2,2,,,,,,,Journal of Tax Administration,J TAX ADM,2059-190X,"BUSINESS, FINANCE - ESCI",48,,0.14,0%,,,,,,202/221,Q4,8.82,0.0,0.025,0.207,,,Q3,8.0,100%,,6.4,8.0,,,Accounting
40,1758-7735,ACCOUNT,Managerial Auditing Journal,Emerald,scopus,WoS,2,2,2,1.0,,26.0,40.0,30.0,Managerial Auditing Journal,MANAG AUDIT J,0268-6902,"BUSINESS, FINANCE - SSCI",2307,2.388,0.7,1.32%,62/111,2.934,Q3,2.071,0.321,97/221,Q2,56.33,0.001,0.168,0.386,44.59,Q3,Q4,53.0,100%,10.9,10.9,53.0,,,Accounting
41,1758-7654,ACCOUNT,Qualitative Research in Accounting and Management,Emerald,scopus,WoS,2,2,2,1.0,,38.0,33.0,24.0,Qualitative Research in Accounting and Management,QUAL RES ACCOUNT MAN,1176-6093,"BUSINESS, FINANCE - SSCI",661,1.604,0.48,6.58%,86/111,1.956,Q3,1.377,0.174,143/221,Q3,35.52,0.0,0.077,0.335,22.97,Q4,Q4,23.0,95.65%,8.2,10.7,22.0,,,Accounting
42,2040-803X,ACCOUNT,"Sustainability Accounting, Management and Policy Journal",Emerald,scopus,WoS,2,2,2,,,42.0,27.0,20.0,Sustainability Accounting Management and Policy Journal,SUSTAIN ACCOUNT MANA,2040-8021,"BUSINESS, FINANCE - SSCI",1372,3.964,0.95,3.85%,34/111,4.695,Q2,3.636,0.804,62/221,Q2,72.17,0.001,0.22,0.576,69.82,Q2,Q3,46.0,97.83%,4.7,8.7,45.0,,,Accounting
43,1543-866X,ACCOUNT,ATA Journal of Legal Tax Research,American Accounting Association,scopus,,1,1,1,,,62.0,62.0,62.0,ATA Journal of Legal Tax Research,ATA J LEG TAX RES,1543-866X,"BUSINESS, FINANCE - ESCI",7,,0.07,0%,,,,,,212/221,Q4,4.3,0.0,0.0,0.002,,,Q4,4.0,100%,,,4.0,,,Accounting
44,1834-2019,ACCOUNT,"Australasian Accounting, Business and Finance Journal",University of Wollongong,scopus,,1,1,1,,,48.0,60.0,54.0,Australasian Accounting Business and Finance Journal,AUSTRALAS ACCOUNT BU,1834-2000,"BUSINESS, FINANCE - ESCI",475,,0.62,80.65%,,,,,,112/221,Q3,49.55,0.0,0.059,0.216,,,Q3,31.0,100%,5.3,12.1,31.0,,,Accounting
45,1558-7959,ACCOUNT,Journal of Information Systems,American Accounting Association,scopus,,1,1,1,,,18.0,20.0,17.0,JOURNAL OF INFORMATION SYSTEMS,J INF SYST,0888-7985,"BUSINESS, FINANCE - SSCI",1003,2.308,0.77,0%,68/111,3.582,Q2,1.815,0.273,82/221,Q2,63.12,0.001,0.249,1.001,39.19,Q3,Q2,22.0,95.45%,6.7,9.6,21.0,,,Accounting
46,2049-3738,ACCOUNT,Meditari Accountancy Research,Emerald,scopus,,1,1,1,,,,,,Meditari Accountancy Research,MEDITARI ACCOUNT RES,2049-372X,"BUSINESS, FINANCE - ESCI",1387,,1.2,7.85%,,,,,,37/221,Q1,83.48,0.001,0.216,0.477,,,Q1,110.0,97.27%,3.6,7.9,107.0,,,Accounting
47,2041-5494,ACCOUNT,Pacific Accounting Review,Emerald,scopus,,1,1,1,,,,,,Pacific Accounting Review,PAC ACCOUNT REV,0114-0582,"BUSINESS, FINANCE - ESCI",645,,0.68,1.82%,,,,,,101/221,Q2,54.52,0.0,0.09,0.301,,,Q2,46.0,97.83%,5.0,10.0,45.0,,,Accounting
48,1988-4672,ACCOUNT,Revista de Contabilidad-Spanish Accounting Review,Elsevier,scopus,WoS,1,1,1,,,,,,Revista de Contabilidad-Spanish Accounting Review,REV CONTAB,1138-4891,"BUSINESS, FINANCE - SSCI",395,2.342,0.86,94.83%,66/111,2.15,Q3,2.237,0.6,74/221,Q2,66.74,0.0,0.068,0.333,40.99,Q3,Q4,20.0,100%,5.5,11.0,20.0,,,Accounting
49,2332-0753,ACCOUNT,Revista Espanola de Financiacion y Contabilidad,Taylor & Francis,scopus,WoS,1,1,1,,18.0,52.0,49.0,49.0,Spanish Journal of Finance and Accounting-Revista Espanola de Financiacion y Contabilidad,SPAN J FINANC ACCOUN,0210-2412,"BUSINESS, FINANCE - SSCI",339,1.615,0.51,1.37%,85/111,1.45,Q4,1.385,0.048,136/221,Q3,38.69,0.0,0.04,0.177,23.87,Q4,Q4,21.0,100%,6.6,11.8,21.0,,,Accounting
50,2376-3981,ACCOUNT,South African Journal of Accounting Research,Taylor & Francis,scopus,,1,1,,,,,,,South African Journal of Accounting Research,S AFR J ACCOUNT RES,1029-1954,"BUSINESS, FINANCE - ESCI",109,,0.44,6.52%,,,,,,151/221,Q3,31.9,0.0,0.021,0.142,,,Q3,13.0,92.31%,4.4,6.4,12.0,,,Accounting
51,1743-7938,BUS HIST & ECON  HIST,Business History,Taylor & Francis,scopus,WoS,4,3,3,4.0,6.0,8.0,5.0,5.0,BUSINESS HISTORY,BUS HIST,0007-6791,BUSINESS - SSCI,1383,0.8,0.68,15.33%,150/154,1.224,Q4,0.605,0.484,137/296,Q2,53.89,0.002,0.407,0.552,2.92,Q4,Q4,95.0,97.89%,8.3,18.4,93.0,,,Business History and Economic History
52,2044-768X,BUS HIST & ECON  HIST,Business History Review,Cambridge University Press,scopus,WoS,4,4,4,3.0,5.0,6.0,8.0,9.0,BUSINESS HISTORY REVIEW,BUS HIST REV,0007-6805,BUSINESS - SSCI,822,1.5,0.71,5.8%,139/154,1.704,Q4,1.405,0.037,130/296,Q2,56.25,0.001,0.226,1.131,10.06,Q4,Q2,27.0,85.19%,14.8,21.7,23.0,,,Business History and Economic History
53,1468-0289,BUS HIST & ECON  HIST,Economic History Review,Wiley-Blackwell,scopus,WoS,4,4,4,4.0,2.0,1.0,2.0,1.0,ECONOMIC HISTORY REVIEW,ECON HIST REV,0013-0117,ECONOMICS - SSCI,2342,2.487,3.25,22.56%,158/381,2.157,Q3,2.0,0.286,7/572,Q1,98.86,0.004,0.928,1.79,58.66,Q2,Q1,49.0,100%,13.0,21.6,49.0,,,Business History and Economic History
54,1467-2235,BUS HIST & ECON  HIST,Enterprise and Society,Cambridge University Press,scopus,WoS,3,3,3,3.0,8.0,7.0,13.0,15.0,ENTERPRISE & SOCIETY,ENTERP SOC,1467-2227,BUSINESS - SSCI,437,0.844,0.54,19.4%,148/154,0.827,Q4,0.641,0.086,171/296,Q3,42.4,0.001,0.22,0.718,4.22,Q4,Q3,70.0,100%,9.0,19.1,70.0,,,Business History and Economic History
55,1474-0044,BUS HIST & ECON  HIST,European Review of Economic History,Oxford University Press,scopus,WoS,3,3,3,1.0,4.0,5.0,4.0,4.0,European Review of Economic History,EUR REV ECON HIST,1361-4916,ECONOMICS - SSCI,781,1.706,1.04,14.61%,239/381,1.833,Q3,1.51,0.421,130/572,Q1,77.36,0.001,0.311,1.411,37.4,Q3,Q2,38.0,94.74%,10.7,15.6,36.0,,,Business History and Economic History
56,1090-2457,BUS HIST & ECON  HIST,Explorations in Economic History,Elsevier,scopus,WoS,3,3,3,3.0,3.0,3.0,3.0,3.0,EXPLORATIONS IN ECONOMIC HISTORY,EXPLOR ECON HIST,0014-4983,ECONOMICS - SSCI,1370,1.857,1.54,12.5%,208/381,2.295,Q2,1.673,1.522,68/572,Q1,88.2,0.003,0.661,2.455,45.54,Q3,Q1,23.0,100%,11.6,15.1,23.0,,,Business History and Economic History
57,1471-6372,BUS HIST & ECON  HIST,Journal of Economic History,Cambridge University Press,scopus,WoS,3,3,3,3.0,1.0,2.0,1.0,2.0,JOURNAL OF ECONOMIC HISTORY,J ECON HIST,0022-0507,ECONOMICS - SSCI,2993,2.459,3.74,19.15%,161/381,3.116,Q2,2.328,0.455,3/572,Q1,99.56,0.005,1.035,3.273,57.87,Q2,Q1,33.0,100%,21.5,17.5,33.0,,,Business History and Economic History
58,2327-4468,BUS HIST & ECON  HIST,Accounting Historians Journal,American Accounting Association,scopus,,2,2,2,,,22.0,20.0,14.0,Accounting Historians Journal,ACCOUNT HIST J,0148-4184,"BUSINESS, FINANCE - ESCI",243,,0.3,0%,,,,,,177/221,Q4,20.14,0.0,0.026,0.2,,,Q3,10.0,100%,16.4,31.0,10.0,,,Business History and Economic History
59,1749-3374,BUS HIST & ECON  HIST,Accounting History,SAGE,scopus,,2,2,2,2.0,,16.0,12.0,7.0,Accounting History,ACCOUNT HIST,1032-3732,"BUSINESS, FINANCE - ESCI",537,,0.55,10.11%,,,,,,123/221,Q3,44.57,0.0,0.081,0.306,,,Q2,25.0,92%,9.2,19.2,23.0,,,Business History and Economic History
60,2155-286X,BUS HIST & ECON  HIST,Accounting History Review,Taylor & Francis,scopus,,2,2,2,2.0,,,,,Accounting History Review,ACCOUNT HIST REV,2155-2851,BUSINESS - ESCI,125,,0.28,0%,,,,,,225/296,Q4,24.16,0.0,0.059,0.496,,,Q1,7.0,100%,5.7,27.1,7.0,,,Business History and Economic History
61,1467-8446,BUS HIST & ECON  HIST,Australian Economic History Review,Wiley-Blackwell,scopus,WoS,2,2,2,,9.0,18.0,19.0,19.0,AUSTRALIAN ECONOMIC HISTORY REVIEW,AUST ECON HIST REV,0004-8992,ECONOMICS - SSCI,170,0.677,0.46,7.69%,350/381,0.679,Q4,0.613,0.143,328/572,Q3,42.74,0.0,0.073,0.456,8.27,Q4,Q3,21.0,100%,9.8,18.8,21.0,,,Business History and Economic History
62,1863-2513,BUS HIST & ECON  HIST,Cliometrica,Springer Nature,scopus,WoS,2,2,2,,7.0,11.0,6.0,6.0,Cliometrica,CLIOMETRICA,1863-2505,ECONOMICS - SSCI,284,1.583,2.48,19.12%,248/381,1.763,Q3,1.479,0.55,18/572,Q1,96.94,0.001,0.269,1.42,35.04,Q3,Q2,20.0,100%,4.5,18.3,20.0,,,Business History and Economic History
63,1469-5936,BUS HIST & ECON  HIST,European Journal of the History of Economic Thought,Taylor & Francis,scopus,WoS,2,2,2,2.0,,10.0,7.0,17.0,European Journal of the History of Economic Thought,EUR J HIST ECON THOU,0967-2567,ECONOMICS - SSCI,394,0.514,0.42,4.26%,363/381,0.584,Q4,0.449,0.176,351/572,Q3,38.72,0.001,0.192,0.388,4.86,Q4,Q4,34.0,100%,8.8,33.7,34.0,,,Business History and Economic History
64,1474-0052,BUS HIST & ECON  HIST,Financial History Review,Cambridge University Press,scopus,,2,2,2,2.0,,15.0,17.0,16.0,Financial History Review,FINANC HIST REV,0968-5650,HISTORY OF SOCIAL SCIENCES - ESCI,199,,0.76,23.21%,,,,,,18/38,Q2,53.95,0.0,0.088,0.527,,,Q1,17.0,100%,9.2,21.6,17.0,,,Business History and Economic History
