Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),ISSN,Publisher,JCR_2021_JIF,JCR_2021_JCI,JCR_2021_JIF_Quartile,JCR_2021_Total_Citations,Eigenfactor,Article_Influence_Score,JCR_Category,JCR_2023_JIF,JCR_2023_JCI,JCR_2023_JIF_Quartile,JCR_2023_Total_Citations,JCR_2023_Eigenfactor,JCR_2023_AIS,JCR_2023_Category
ACCOUNT,Australian Accounting Review,2,2,34,43,39,29,38%,31%,6%,0.169,18352561,Wiley-Blackwell,2.68,0.95,Q3,1150,0.001,0.391,"BUSINESS, FINANCE - SSCI",3.1,0.94,Q1,1154,0.001,0.495,"BUSINESS, FINANCE"
ACCOUNT,China Journal of Accounting Research,2,2,44,24,34,61%,13%,9%,0.222,,17553091,Elsevier,,0.93,,534,0.001,0.6,"BUSINESS, FINANCE - ESCI",1.9,0.8,Q2,754,0.001,0.627,"BUSINESS, FINANCE"
ACCOUNT,Current Issues in Auditing,2,2,64,66,51,8%,11%,2%,0.000,,19361270,American Accounting Association,,0.39,,183,0.0,0.57,"BUSINESS, FINANCE - ESCI",0.8,0.19,Q4,221,0,0.303,"BUSINESS, FINANCE"
ACCOUNT,International Journal of Accounting and Information Management,2,2,31,30,42,42%,49%,9%,0.046,,,,,,,,,,,4.3,1.06,Q2,1121,0.001,0.461,MANAGEMENT
ACCOUNT,International Journal of Accounting Information Systems,2,2,9,12,25,17,18%,41%,17%,0.115,18734723,Elsevier,5.111,1.34,Q2,1147,0.001,1.1,BUSINESS - SSCI,4.1,1.01,Q1,1176,0.001,0.936,"BUSINESS, FINANCE"
ACCOUNT,Evaluation,2,2,68,73,74,41%,32%,9%,0.000,,,,,,,,,,,,,,,,,
ACCOUNT,International Journal of Auditing,2,2,42,35,35,22,18%,41%,6%,0.069,10991123,Wiley-Blackwell,2.345,0.7,Q3,1079,0.001,0.527,"BUSINESS, FINANCE - SSCI",2.1,0.58,Q2,1179,0.001,0.466,"BUSINESS, FINANCE"
ACCOUNT,International Journal of Disclosure and Governance,2,2,56,57,60,58%,27%,11%,0.010,,17466539,Springer Nature,,0.39,,330,0.0,0.213,MANAGEMENT - ESCI,2.9,0.63,Q2,572,0,0.36,MANAGEMENT
ACCOUNT,International Journal of Managerial and Financial Accounting,2,2,43,52,57,47%,52%,18%,0.000,,,,,,,,,,,1.2,0.37,Q3,214,0,0.188,"BUSINESS, FINANCE"
ACCOUNT,Journal of Accounting and Organizational Change,2,2,51,49,46,39%,35%,8%,0.007,,18325912,Emerald,,0.58,,721,0.0,0.26,"BUSINESS, FINANCE - ESCI",2.4,0.6,Q2,793,0.001,0.398,"BUSINESS, FINANCE"
ACCOUNT,Journal of Accounting in Emerging Economies,2,2,53,46,43,81%,56%,10%,0.022,,20421176,Emerald,,1.07,,675,0.001,0.398,"BUSINESS, FINANCE - ESCI",3.2,0.87,Q1,971,0.001,0.403,"BUSINESS, FINANCE"
ACCOUNT,Journal of Applied Accounting Research,2,2,46,45,48,43%,47%,10%,0.065,,09675426,Emerald,,0.77,,733,0.0,0.32,"BUSINESS, FINANCE - ESCI",3.9,0.91,Q1,1289,0.001,0.455,"BUSINESS, FINANCE"
ACCOUNT,Journal of Contemporary Accounting and Economics,2,2,35,32,31,15,40%,55%,7%,0.024,18155669,Elsevier,2.944,0.94,Q2,807,0.001,0.591,"BUSINESS, FINANCE - SSCI",2.9,0.94,Q2,1006,0.001,0.549,"BUSINESS, FINANCE"
ACCOUNT,Journal of Forensic Accounting Research,2,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of International Accounting Research,2,2,55,53,45,30%,63%,13%,0.043,,15588025,American Accounting Association,,0.4,,389,0.0,0.392,"BUSINESS, FINANCE - ESCI",0.9,0.3,Q3,433,0,0.29,"BUSINESS, FINANCE"
ACCOUNT,Journal of International Financial Management and Accounting,2,2,25,19,32,24,43%,50%,3%,0.350,,,,,,,,,,9.4,2.36,Q1,1067,0.001,1.059,"BUSINESS, FINANCE"
ACCOUNT,Journal of Management Accounting Research,2,2,29,37,20,20%,37%,4%,0.043,,15588033,American Accounting Association,,0.68,,879,0.001,0.848,"BUSINESS, FINANCE - ESCI",1.4,0.44,Q3,994,0.001,0.985,"BUSINESS, FINANCE"
ACCOUNT,Journal of Management Control,2,2,23,44,35,19%,21%,3%,0.000,,,,,,,,,,,2.1,0.59,Q3,450,0,0.498,MANAGEMENT
ACCOUNT,"Journal of Public Budgeting, Accounting and Financial Management",2,2,62,60,53,41%,31%,6%,0.219,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of Tax Administration,2,2,,,,,,,,,2059190X,Tax Administration Research Centre,,0.14,,48,0.0,0.207,"BUSINESS, FINANCE - ESCI",0.1,0.05,Q4,56,0,0.288,"BUSINESS, FINANCE"
ACCOUNT,Managerial Auditing Journal,2,2,33,39,44,20,39%,29%,9%,0.055,17587735,Emerald,2.388,0.7,Q3,2307,0.001,0.386,"BUSINESS, FINANCE - SSCI",2.8,0.77,Q2,2601,0.001,0.455,"BUSINESS, FINANCE"
ACCOUNT,Qualitative Research in Accounting and Management,2,2,41,51,38,28,33%,42%,5%,0.064,17587654,Emerald,1.604,0.48,Q4,661,0.0,0.335,"BUSINESS, FINANCE - SSCI",2.3,0.62,Q2,775,0,0.447,"BUSINESS, FINANCE"
ACCOUNT,"Sustainability Accounting, Management and Policy Journal",2,2,19,41,26,8,90%,37%,13%,0.116,2040803X,Emerald,3.964,0.95,Q2,1372,0.001,0.576,"BUSINESS, FINANCE - SSCI",,,,,,,
ACCOUNT,"Accounting, Finance & Governance Review",1,1,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Advances in Environmental Accounting and Management,1,1,64,77,70,100%,15%,0%,0.000,,,,,,,,,,,,,,,,,
ACCOUNT,Advances in Public Interest Accounting,1,1,74,76,67,35%,0%,6%,0.000,,,,,,,,,,,,,,,,,
ACCOUNT,"African Journal of Accounting, Auditing and Finance",1,1,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Asian Journal of Accounting Research,1,31,28,65,58%,14%,13%,0.076,,,,,,,,,,,,,,,,,,
ACCOUNT,ATA Journal of Legal Tax Research,1,1,78,71,78,58%,0%,0%,0.053,,1543866X,American Accounting Association,,0.07,,7,0.0,0.002,"BUSINESS, FINANCE - ESCI",0.4,0.1,Q4,12,0,0.023,"BUSINESS, FINANCE"
ACCOUNT,"Australasian Accounting, Business and Finance Journal",1,1,44,47,58,68%,24%,10%,0.049,,18342019,University of Wollongong,,0.62,,475,0.0,0.216,"BUSINESS, FINANCE - ESCI",,,,,,,
ACCOUNT,China Journal of Accounting Studies,1,1,77,75,71,72%,4%,9%,0.000,,,,,,,,,,,,,,,,,
ACCOUNT,Comptabilite Controle Audit,1,1,68,70,66,32,21%,14%,20%,0.000,12622788,Francophone Association of Accounting,0.75,0.22,Q4,115,0.0,0.086,"BUSINESS, FINANCE - SSCI",0.5,0.18,Q4,134,0,0.125,"BUSINESS, FINANCE"
ACCOUNT,International Journal of Critical Accounting,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of Accounting and Management Information Systems,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of Accounting and Taxation,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNT,of Forensic Accounting),1,1,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of Governmental & Non-Profit Accounting,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of Information Systems,1,1,20,23,24,16,7%,20%,5%,0.138,15587959,American Accounting Association,2.308,0.77,Q3,1003,0.001,1.001,"BUSINESS, FINANCE - SSCI",2,0.52,Q2,924,0.001,0.662,"BUSINESS, FINANCE"
ACCOUNT,Journal of Islamic Accounting and Business Research,1,1,54,54,63%,44%,15%,0.024,,,17590817,Emerald,,0.58,,696,0.0,0.175,"BUSINESS, FINANCE - ESCI",2.5,0.65,Q2,1242,0.001,0.239,"BUSINESS, FINANCE"
ACCOUNT,Management Accounting Frontiers,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Meditari Accountancy Research,1,1,12,34,23,64%,42%,8%,0.065,,20493738,Emerald,,1.2,,1387,0.001,0.477,"BUSINESS, FINANCE - ESCI",3.5,1.01,Q1,1909,0.001,0.531,"BUSINESS, FINANCE"
ACCOUNT,Pacific Accounting Review,1,1,52,59,52,62%,40%,8%,0.035,,20415494,Emerald,,0.68,,645,0.0,0.301,"BUSINESS, FINANCE - ESCI",2.1,0.67,Q2,805,0.001,0.351,"BUSINESS, FINANCE"
ACCOUNT,Research on Professional Responsibility and Ethics in Accounting,1,1,71,56,75,31%,7%,6%,0.029,,,,,,,,,,,,,,,,,
ACCOUNT,Revista Contabilidade & Finanças,1,70,65,68,41%,10%,22%,0.053,,,,,,,,,,,,,,,,,,
ACCOUNT,Revista de Contabilidad-Spanish Accounting Review,1,1,36,40,47,27,36%,13%,10%,0.041,19884672,Elsevier,2.342,0.86,Q3,395,0.0,0.333,"BUSINESS, FINANCE - SSCI",1.5,0.53,Q3,433,0,0.347,"BUSINESS, FINANCE"
ACCOUNT,Revista Espanola de Financiacion y Contabilidad,1,1,57,64,59,30,31%,21%,3%,0.020,23320753,Taylor & Francis,1.615,0.51,Q4,339,0.0,0.177,"BUSINESS, FINANCE - SSCI",,,,,,,
