Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),ISSN,Publisher,JCR_2021_JIF,JCR_2021_JCI,JCR_2021_JIF_Quartile,JCR_2021_Total_Citations,Eigenfactor,Article_Influence_Score,JCR_Category,JCR_2023_JIF,JCR_2023_JCI,JCR_2023_JIF_Quartile,JCR_2023_Total_Citations,JCR_2023_Eigenfactor,JCR_2023_AIS,JCR_2023_Category
INFO MAN,International Journal of Business Process Integration and Managemen,1,1,90,84,91,21%,35%,22%,0.000,,,,,,,,,,,,,,,,,
INFO MAN,International Journal of Data Analysis Techniques and Strategies,1,1,86,81,83,16%,8%,17%,0.000,,,,,,,,,,,,,,,,,
INFO MAN,"International Journal of Digital Strategy, Governance, and Business Tra",1,1,,,,,,,,,,,,,,,,,,,,,,,,
INFO MAN,International Journal of e-Business Research,1,1,76,85,81,39%,30%,10%,0.048,,1548114X,IGI Global Publishing,,0.25,,216,0.0,0.147,BUSINESS - ESCI,0.9,0.23,Q4,239,0,0.165,BUSINESS
INFO MAN,International Journal of Electronic Business,1,85,87,87,36%,18%,9%,0.000,,,,,,,,,,,,,,,,,,
INFO MAN,International Journal of Enterprise Information Systems,1,1,73,78,80,33%,23%,11%,0.024,,15481123,IGI Global Publishing,,0.34,,232,0.0,0.107,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",,,,,,,
INFO MAN,International Journal of Information Systems and Change Manageme,1,1,94,93,92,37%,19%,17%,0.015,,,,,,,,,,,,,,,,,
INFO MAN,International Journal of Information Systems in the Service Sector,1,1,84,82,82,40%,26%,14%,0.000,,19355696,IGI Global Publishing,,0.26,,152,0.0,0.094,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",,,,,,,
INFO MAN,International Journal of Information Technology and Management,1,1,93,90,94,22%,11%,14%,0.000,,,,,,,,,,,,,,,,,
INFO MAN,International Journal of Knowledge Management,1,1,78,73,77,28%,36%,13%,0.009,,15480658,IGI Global Publishing,,0.44,,373,0.0,0.168,MANAGEMENT - ESCI,1.2,0.37,Q3,259,0,0.16,MANAGEMENT
INFO MAN,International Journal of Services Economics and Management,1,91,92,88,58%,18%,17%,0.000,,,,,,,,,,,,,,,,,,
INFO MAN,International Journal of Web Information Systems,1,1,80,80,86,18%,25%,16%,0.007,,17440092,Emerald,,0.21,,190,0.0,0.126,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",,,,,,,
INFO MAN,Journal of Database Management,1,1,74,70,76,63,15%,34%,15%,0.000,15338010,IGI Global Publishing,2.656,0.46,Q3,350,0.0,0.247,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",,,,,,,
INFO MAN,Journal of Decision Systems,1,1,69,75,71,27%,22%,18%,0.027,,21167052,Taylor & Francis,,0.3,,553,0.0,0.227,OPERATIONS RESEARCH & MANAGEMENT SCIENCE - ESCI,2.8,0.6,Q2,879,0.001,0.428,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
INFO MAN,Journal of Electronic Commerce in Organizations,1,1,86,91,89,32%,15%,9%,0.000,,15392937,IGI Global Publishing,,0.2,,248,0.0,0.117,BUSINESS - ESCI,0.9,0.29,Q4,226,0,0.163,BUSINESS
INFO MAN,Journal of Electronic Commerce Research,1,1,48,63,31,36,13%,49%,7%,0.000,15266133,California State University Press,4.0,0.67,Q3,1657,0.001,0.582,BUSINESS - SSCI,2.3,0.69,Q3,1706,0.001,0.806,BUSINESS
INFO MAN,Journal of Emerging Technologies in Accounting,1,1,68,56,55,21%,15%,9%,0.028,,15587940,American Accounting Association,,0.74,,424,0.001,0.74,"BUSINESS, FINANCE - ESCI",1.6,0.52,Q3,636,0,0.455,"BUSINESS, FINANCE"
INFO MAN,Journal of Information Systems Education,1,1,75,61,67,39%,13%,4%,0.000,,,,,,,,,,,,,,,,,
INFO MAN,Journal of Information Technology Case and Application Research,1,82,77,78,29%,26%,16%,0.016,,,,,,,,,,,,,,,,,,
INFO MAN,Journal of Information Technology Management,1,1,95,94,93,38%,14%,16%,0.000,,,,,,,,,,,,,,,,,
INFO MAN,Journal of Information Technology Teaching Cases,1,1,92,86,90,47%,32%,21%,0.029,,,,,,,,,,,,,,,,,
INFO MAN,Journal of Informetrics,1,1,22,24,16,24,12%,45%,26%,0.378,18755879,Elsevier,4.373,1.42,Q2,5754,0.006,1.517,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE",,,,,,,
INFO MAN,Journal of Internet Commerce,1,1,50,50,49,17%,23%,4%,0.032,,1533287X,Taylor & Francis,,0.82,,918,0.001,0.65,BUSINESS - ESCI,4.1,0.76,Q2,1035,0.001,0.814,BUSINESS
INFO MAN,Journal of Organizational and End User Computing,1,1,42,35,56,45,15%,33%,19%,0.000,15465012,IGI Global Publishing,7.4,1.82,Q1,1003,0.001,0.511,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",3.6,1.33,Q2,978,0.001,0.4,MANAGEMENT
INFO MAN,Journal of Organizational Computing and Electronic Commerce,1,1,47,52,54,52,18%,22%,11%,0.172,,,,,,,,,,,,,,,,
INFO MAN,Journal of Systems and Information Technology,1,1,60,64,68,41%,32%,14%,0.012,,,,,,,,,,,,,,,,,
INFO MAN,Journal of Theoretical and Applied Electronic Commerce Research,1,1,54,44,60,39,49%,27%,12%,0.107,07181876,Multidisciplinary Digital Publishing Insti- tute (MDPI),5.318,0.89,Q2,1022,0.0,0.462,BUSINESS - SSCI,5.1,1.12,Q1,2137,0.002,0.686,BUSINESS
INFO MAN,Knowledge Management Research and Practice,1,1,53,60,59,50,41%,41%,13%,0.115,14778246,Taylor & Francis,3.054,0.78,Q2,1754,0.001,0.363,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,3.2,0.8,Q2,1866,0.001,0.472,MANAGEMENT
INFO MAN,Library Hi Tech (LHT),1,61,58,57,60,34%,27%,14%,0.045,,,,,,,,,,,,,,,,,
INFO MAN,Online Information Review,1,1,52,51,45,43,29%,30%,9%,0.124,14684535,Emerald,2.901,0.74,Q3,2629,0.002,0.626,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",,,,,,,
INFO MAN,Online Journal of Applied Knowledge Management,1,1,,,,,,,,,,,,,,,,,,,,,,,,
INFO MAN,Software Impacts,1,88,9%,25%,18%,0.042,,,,,,,,,,,,,,,,,,,,
INFO MAN,South African Journal of Information Management,1,1,,,,,,,,,1560683X,AOSIS (pty) Ltd,,0.39,,292,0.0,0.256,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI,,,,,,,
INFO MAN,The Bottom Line,1,70,76,73,39%,48%,24%,0.024,,,,,,,,,,,,,,,,,,
INNOV,Research Policy,4*,4*,2,1,1,1,62%,59%,29%,3.066,18737625,Elsevier,9.473,2.27,Q1,34484,0.02,2.758,MANAGEMENT - SSCI,7.5,1.86,Q1,33040,0.021,2.936,MANAGEMENT
INNOV,Journal of Product Innovation Management,4,4,3,4,2,3,60%,51%,12%,0.185,15405885,Wiley-Blackwell,9.885,1.63,Q1,9830,0.004,2.084,BUSINESS - SSCI,10.1,1.67,Q1,8894,0.004,2.761,BUSINESS
INNOV,Industry and Innovation,3,3,13,10,9,15,63%,46%,24%,0.668,14698390,Taylor & Francis,3.819,1.1,Q1,2376,0.002,1.037,ECONOMICS - SSCI,3.4,0.96,Q1,2479,0.002,1.009,ECONOMICS
INNOV,Journal of Technology Transfer,3,3,6,8,5,6,66%,48%,25%,1.073,15737047,Springer Nature,5.337,1.11,Q2,5148,0.004,1.141,MANAGEMENT - SSCI,4.6,0.93,Q1,4892,0.004,1.076,MANAGEMENT
INNOV,R and D Management,3,3,9,13,10,8,60%,47%,16%,0.272,14679310,Wiley-Blackwell,5.962,1.13,Q2,5155,0.003,1.053,BUSINESS - SSCI,6.7,1.33,Q1,4848,0.003,1.275,BUSINESS
INNOV,Technological Forecasting and Social Change,3,3,5,5,4,5,64%,47%,24%,1.241,18735509,Elsevier,10.884,2.4,Q1,31070,0.028,1.573,BUSINESS - SSCI,12.9,2.6,Q1,50385,0.05,2.152,BUSINESS
INNOV,Technovation,3,3,4,2,3,2,60%,47%,16%,0.631,18792383,Elsevier,11.373,2.3,Q1,9106,0.003,1.97,"ENGINEERING, INDUSTRIAL - SCIE",11.1,2.47,Q1,11241,0.006,1.994,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
INNOV,Creativity and Innovation Management,2,2,15,16,12,14,39%,53%,18%,0.167,14678691,Wiley-Blackwell,3.644,0.84,Q3,2714,0.002,0.82,MANAGEMENT - SSCI,3.7,0.88,Q2,2667,0.002,0.849,MANAGEMENT
INNOV,Innovation: Organization & Management,2,2,18,18,15,18,59%,33%,8%,0.254,22040226,Taylor & Francis,2.453,0.55,Q4,1059,0.001,0.648,MANAGEMENT - SSCI,,,,,,,
INNOV,International Journal of Innovation Management,2,2,23,25,22,58%,39%,13%,0.068,,13639196,World Scientific,,0.54,,2273,0.001,0.344,MANAGEMENT - ESCI,1.3,0.39,Q3,2354,0.001,0.311,MANAGEMENT
INNOV,Journal of Engineering and Technology Management - JET-M,2,2,10,9,13,10,53%,45%,15%,0.144,,,,,,,,,,,,,,,,
INNOV,Journal of High Technology Management Research,2,2,16,21,20,38%,31%,13%,0.071,,,,,,,,,,,,,,,,,
INNOV,Journal of Responsible Innovation,2,11,17,14,13,43%,30%,20%,0.725,,,,,,,,,,,3.9,1.73,Q2,953,0.001,0.811,MANAGEMENT
INNOV,Prometheus,2,2,37,28,37,33%,26%,16%,0.326,,,,,,,,,,,,,,,,,
INNOV,Research Technology Management,2,2,20,12,17,12,39%,37%,19%,0.193,19300166,Taylor & Francis,2.855,0.62,Q4,1972,0.001,0.738,BUSINESS - SSCI,,,,,,,
INNOV,Science and Technology Studies,2,2,22,22,19,19,51%,48%,24%,0.122,22434690,The Finnish Society for Science and Technol- ogy Studies,3.105,1.59,Q1,335,0.001,0.956,HISTORY & PHILOSOPHY OF SCIENCE - SSCI,,,,,,,
INNOV,Science Technology and Human Values,2,2,7,7,8,11,46%,42%,11%,0.464,15528251,SAGE,3.634,1.5,Q1,3789,0.004,1.721,SOCIAL ISSUES - SSCI,,,,,,,
INNOV,Scientometrics,2,2,12,11,11,16,28%,36%,23%,0.273,15882861,Springer Nature,3.801,0.91,Q2,18464,0.014,0.816,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE",,,,,,,
INNOV,Social Studies of Science,2,2,8,6,7,9,36%,36%,8%,0.528,14603659,SAGE,2.781,2.61,,4606,0.004,1.774,HISTORY & PHILOSOPHY OF SCIENCE - AHCI,,,,,,,
INNOV,Structural Change and Economic Dynamics,2,2,21,14,16,17,75%,41%,21%,0.876,0954349X,Elsevier,5.059,1.7,Q1,2788,0.003,0.905,ECONOMICS - SSCI,5,1.87,Q1,4632,0.005,0.993,ECONOMICS
INNOV,Annals of Science and Technology Policy,1,,,,,,,,,,,,,,,,,,,,,,,,,
INNOV,Asian Journal of Technology Innovation,1,1,25,27,25,21,76%,30%,25%,0.123,21586721,Taylor & Francis,1.769,0.45,Q4,474,0.0,0.212,BUSINESS - SSCI,1.8,0.49,Q2,557,0,0.361,ECONOMICS
INNOV,European Journal of Innovation Management,1,1,14,15,18,7,68%,36%,15%,0.175,17587115,Emerald,4.75,1.03,Q3,2933,0.002,0.615,BUSINESS - SSCI,5,1.04,Q1,4169,0.003,0.842,BUSINESS
INNOV,International Journal of Business Innovation and Research,1,1,30,29,27,58%,16%,17%,0.034,,,,,,,,,,,,,,,,,
INNOV,International Journal of Entrepreneurship and Innovation Managemen,1,1,34,35,34,62%,15%,13%,0.033,,,,,,,,,,,,,,,,,
INNOV,International Journal of Foresight and Innovation Policy,1,1,38,32,32,43%,31%,14%,0.014,,,,,,,,,,,,,,,,,
INNOV,International Journal of Innovation and Sustainable Development,1,1,28,31,30,88%,25%,14%,0.096,,,,,,,,,,,,,,,,,
INNOV,International Journal of Innovation and Technology Management,1,1,29,33,31,57%,32%,19%,0.108,,,,,,,,,,,1.6,0.33,Q3,1164,0.001,0.333,MANAGEMENT
INNOV,International Journal of Innovation Science,1,1,24,24,24,73%,12%,15%,0.071,,17572231,Emerald,,0.55,,504,0.0,0.307,BUSINESS - ESCI,3,0.53,Q2,1152,0.001,0.623,BUSINESS
INNOV,International Journal of Product Development,1,1,31,30,36,38%,23%,20%,0.000,,,,,,,,,,,,,,,,,
INNOV,"International Journal of Technological Learning, Innovation and Develo",1,33,34,26,89%,37%,24%,0.110,,,,,,,,,,,,,,,,,,
INNOV,International Journal of Technology and Globalisation,1,1,40,40,40,77%,27%,38%,0.000,,,,,,,,,,,,,,,,,
INNOV,International Journal of Technology Intelligence and Planning,1,1,35,38,39,62%,33%,10%,0.000,,,,,,,,,,,,,,,,,
INNOV,International Journal of Technology Management and Sustainable De,1,1,36,36,35,78%,29%,14%,0.092,,,,,,,,,,,,,,,,,
INNOV,International Journal of Technology Transfer and Commercialisation,1,1,,,,,,,,,,,,,,,,,,,,,,,,
INNOV,"International Journal of Technology, Policy and Management",1,1,38,39,38,58%,26%,21%,0.010,,,,,,,,,,,,,,,,,
INNOV,International Journal of the Digital Human,1,1,,,,,,,,,,,,,,,,,,,,,,,,
INNOV,Journal of Innovation and Knowledge,1,1,1,3,6,4,56%,29%,14%,0.252,2444569X,Elsevier,11.219,2.56,Q1,1304,0.001,1.301,BUSINESS - SSCI,15.6,3.96,Q1,4262,0.004,2.123,BUSINESS
INNOV,Journal of Innovation Economics & Management,1,1,32,37,33,48%,32%,39%,0.216,,20325355,De Boeck Supérieur,,0.31,,304,0.0,0.204,MANAGEMENT - ESCI,1.7,0.4,Q3,393,0,0.306,MANAGEMENT
INNOV,Journal of Innovation Management (JIM),1,27,26,29,58%,45%,27%,0.108,,,,,,,,,,,,,,,,,,
INNOV,Journal of Science and Technology Policy Management,1,1,17,20,23,88%,21%,22%,0.068,,,,,,,,,,,2.9,0.58,Q2,954,0.001,0.404,MANAGEMENT
INNOV,Journal of the Knowledge Economy,1,1,19,19,21,20,78%,31%,16%,0.218,18687873,Springer Nature,1.815,0.76,Q3,1628,0.001,0.294,ECONOMICS - SSCI,4,1.17,Q1,3712,0.002,0.414,ECONOMICS
INNOV,Technology Innovation Management Review,1,1,26,23,28,55%,23%,24%,0.388,,19270321,Carleton University,,0.46,,1474,0.001,0.464,MANAGEMENT - ESCI,1.6,0.36,Q3,1387,0.001,0.53,MANAGEMENT
MDEV&EDU,Academy of Management Learning and Education,4*,4*,1,7,2,1,21%,50%,6%,0.214,,,,,,,,,,4.8,1.83,Q1,3335,0.002,1.868,MANAGEMENT
MDEV&EDU,Management Learning,3,3,10,12,8,9,22%,37%,9%,0.140,14617307,SAGE,3.738,0.84,Q3,2395,0.002,1.125,MANAGEMENT - SSCI,2.8,0.62,Q2,2103,0.002,1.416,MANAGEMENT
MDEV&EDU,Studies in Higher Education,3,3,2,4,5,5,44%,30%,10%,0.473,1470174X,Taylor & Francis,4.017,2.23,Q1,9286,0.01,1.181,EDUCATION & EDUCATIONAL RESEARCH - SSCI,,,,,,,
MDEV&EDU,Accounting Education,2,2,16,21,17,49%,21%,4%,0.053,,14684489,Taylor & Francis,,0.98,,1126,0.001,0.399,"BUSINESS, FINANCE - ESCI",2.5,0.8,Q2,1357,0.001,0.523,"BUSINESS, FINANCE"
MDEV&EDU,Advances in Developing Human Resources,2,2,22,36,34,47%,18%,11%,0.182,,15523055,SAGE,,0.98,,1395,0.001,0.499,INDUSTRIAL RELATIONS & LABOR - ESCI,,,,,,,
MDEV&EDU,Assessment and Evaluation in Higher Education,2,6,5,6,8,31%,23%,8%,0.183,,,,,,,,,,,,,,,,,
MDEV&EDU,British Educational Research Journal,2,3,14,10,10,12,53%,20%,11%,0.888,14693518,Wiley-Blackwell,2.133,1.28,Q3,3681,0.003,0.899,EDUCATION & EDUCATIONAL RESEARCH - SSCI,,,,,,,
MDEV&EDU,British Journal of Guidance and Counselling,2,2,38,39,40,17,29%,21%,16%,0.240,14693534,Taylor & Francis,1.125,0.32,Q4,1349,0.001,0.274,"PSYCHOLOGY, APPLIED - SSCI",,,,,,,
MDEV&EDU,European Journal of Higher Education,2,18,24,21,41%,32%,13%,0.647,,,,,,,,,,,,,,,,,,
MDEV&EDU,Higher Education,2,2,5,2,3,4,50%,35%,9%,0.765,1573174X,Springer Nature,3.947,2.31,Q1,8971,0.009,1.348,EDUCATION & EDUCATIONAL RESEARCH - SSCI,,,,,,,
MDEV&EDU,Higher Education Policy,2,2,26,28,22,15,60%,39%,13%,0.437,17403863,Springer Nature,1.76,1.19,Q3,1150,0.001,0.566,EDUCATION & EDUCATIONAL RESEARCH - SSCI,,,,,,,
MDEV&EDU,Higher Education Quarterly,2,2,20,15,12,44%,40%,11%,0.470,,,,,,,,,,,,,,,,,
MDEV&EDU,INFORMS Transactions on Education,2,2,47,45,47,20%,21%,14%,0.000,,,,,,,,,,,,,,,,,
MDEV&EDU,Innovations in Education and Teaching International,2,2,20,22,18,16,39%,26%,7%,0.073,14703300,Taylor & Francis,2.027,1.08,Q3,1738,0.002,0.513,EDUCATION & EDUCATIONAL RESEARCH - SSCI,,,,,,,
MDEV&EDU,Issues in Accounting Education,2,2,36,34,30,26%,10%,12%,0.008,,15587983,American Accounting Association,,0.27,,634,0.0,0.129,"BUSINESS, FINANCE - ESCI",1,0.29,Q3,736,0,0.133,"BUSINESS, FINANCE"
MDEV&EDU,Journal of Accounting Education,2,2,12,9,15,22%,9%,8%,0.009,,,,,,,,,,,,,,,,,
MDEV&EDU,Journal of Education and Work,2,2,31,25,23,84%,25%,10%,1.129,,14699435,Taylor & Francis,,0.66,,1195,0.001,0.523,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,Journal of Education Policy,2,2,2,3,1,6,60%,31%,6%,0.823,14645106,Taylor & Francis,3.0,1.91,Q2,3095,0.003,1.297,EDUCATION & EDUCATIONAL RESEARCH - SSCI,,,,,,,
MDEV&EDU,Journal of Higher Education,2,2,8,6,4,7,39%,7%,10%,0.723,15384640,Ohio State University Press,3.204,1.68,Q2,4040,0.003,1.684,EDUCATION & EDUCATIONAL RESEARCH - SSCI,,,,,,,
MDEV&EDU,Journal of International Business Education,2,2,50,50,33%,30%,16%,0.000,,,,,,,,,,,,,,,,,,
MDEV&EDU,Journal of Management Education,2,2,26,27,25,31%,18%,2%,0.072,,15526658,SAGE,,0.97,,1411,0.001,0.426,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,Journal of Marketing Education,2,2,7,8,13,37%,13%,4%,0.055,,15526550,SAGE,,1.64,,1313,0.0,0.502,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,Management Teaching Review,2,22%,13%,10%,0.000,,,,,,,,,,,,,,,,,,,,,
MDEV&EDU,Teaching in Higher Education,2,2,11,11,11,13,28%,22%,5%,0.167,14701294,Taylor & Francis,2.75,1.54,Q2,3485,0.003,0.886,EDUCATION & EDUCATIONAL RESEARCH - SSCI,,,,,,,
MDEV&EDU,Action Learning: Research and Practice,1,1,45,38,43,33%,16%,17%,0.009,,14767341,Taylor & Francis,,0.47,,270,0.0,0.099,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,Active Learning in Higher Education,1,1,4,1,7,3,35%,15%,12%,0.155,17412625,SAGE,3.795,2.36,Q1,1310,0.001,1.238,EDUCATION & EDUCATIONAL RESEARCH - SSCI,,,,,,,
MDEV&EDU,Advances in Accounting Education: Teaching and Curriculum Innovatio,1,1,41,48,39,29%,6%,2%,0.000,,,,,,,,,,,,,,,,,
MDEV&EDU,Coaching,1,1,34,37,37,13%,17%,22%,0.050,,,,,,,,,,,,,,,,,
MDEV&EDU,Decision Sciences Journal of Innovative Education,1,1,32,30,26,26%,9%,6%,0.043,,15404609,Wiley-Blackwell,,0.95,,632,0.0,0.342,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,Education and Training,1,1,13,16,24,10,73%,30%,11%,0.167,17586127,Emerald,3.058,1.47,Q2,3290,0.002,0.533,EDUCATION & EDUCATIONAL RESEARCH - SSCI,,,,,,,
MDEV&EDU,Electronic Journal of e-Learning,1,1,15,13,28,63%,21%,11%,0.053,,14794403,Academic Publishing Limited,,1.05,,662,0.001,0.521,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,European Journal of Training and Development,1,1,24,23,35,51%,35%,16%,0.077,,20469020,Emerald,,0.38,,963,0.001,0.35,MANAGEMENT - ESCI,2.3,0.44,Q3,1182,0.001,0.451,MANAGEMENT
MDEV&EDU,"Higher Education, Skills and Work-based Learning",1,1,35,35,36,90%,19%,12%,0.104,,2042390X,Emerald,,0.67,,391,0.0,0.194,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,Industry and Higher Education,1,1,37,40,38,69%,22%,18%,0.220,,20436858,SAGE,,0.82,,805,0.001,0.284,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,International Journal of Evidence Based Coaching and Mentoring,1,1,48,47,46,14%,13%,13%,0.025,,,,,,,,,,,,,,,,,
MDEV&EDU,International Journal of Innovation and Learning,1,42,43,42,53%,28%,13%,0.000,,,,,,,,,,,,1,0.15,Q4,327,0,0.075,MANAGEMENT
MDEV&EDU,International Journal of Knowledge and Learning,1,46,46,48,44%,26%,23%,0.000,,,,,,,,,,,,,,,,,,
MDEV&EDU,International Journal of Learning and Change,1,43,44,45,53%,24%,16%,0.000,,,,,,,,,,,,,,,,,,
MDEV&EDU,International Journal of Management Development,1,1,,,,,,,,,,,,,,,,,,,,,,,,
MDEV&EDU,International Journal of Management Education,1,1,9,14,16,2,53%,25%,11%,0.113,23523565,Elsevier,4.564,1.37,Q3,1765,0.001,0.644,BUSINESS - SSCI,6,2.1,Q1,3267,0.002,0.74,BUSINESS
MDEV&EDU,International Journal of Teaching and Case Studies,1,1,,,,,,,,,,,,,,,,,,,,,,,,
MDEV&EDU,Journal for Advancement of Marketing Education,1,1,44,49,44,33%,9%,2%,0.000,,,,,,,,,,,,,,,,,
MDEV&EDU,Journal of Advertising Education,1,1,49,42,49,21%,14%,6%,0.000,,,,,,,,,,,,,,,,,
MDEV&EDU,Journal of Business Ethics Education,1,1,51,51,47%,19%,12%,0.000,,,,,,,,,,,,,,,,,,
MDEV&EDU,Journal of Educational Administration,1,1,19,17,9,11,44%,24%,13%,0.431,09578234,Emerald,2.152,1.02,Q3,2100,0.001,0.764,EDUCATION & EDUCATIONAL RESEARCH - SSCI,,,,,,,
MDEV&EDU,Journal of Further and Higher Education,1,1,25,19,19,39%,14%,8%,0.209,,14699486,Taylor & Francis,,1.17,,1534,0.002,0.491,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,Journal of Higher Education Policy and Management,1,1,23,29,14,14,46%,31%,8%,0.279,14699508,Taylor & Francis,2.553,1.2,Q2,1499,0.002,0.712,EDUCATION & EDUCATIONAL RESEARCH - SSCI,,,,,,,
MDEV&EDU,Journal of International Education in Business,1,1,39,41,41,68%,21%,6%,0.000,,18363261,Emerald,,0.58,,197,0.0,0.28,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,Journal of Management Development,1,1,16,31,29,45%,33%,16%,0.086,,02621711,Emerald,,0.56,,2901,0.002,0.523,MANAGEMENT - ESCI,2.5,0.62,Q3,2689,0.001,0.576,MANAGEMENT
MDEV&EDU,Journal of Organizational Behavior Education,1,1,30%,15%,11%,0.000,,,,,,,,,,,,,,,,,,,,
MDEV&EDU,Journal of Vocational Education and Training,1,1,30,20,20,85%,17%,8%,1.161,,17475090,Taylor & Francis,,0.92,,826,0.001,0.362,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,Journal of Workplace Learning,1,1,29,26,33,53%,29%,20%,0.223,,13665626,Emerald,,0.86,,1170,0.001,0.321,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,Marketing Education Review,1,1,40,33,32,25%,8%,5%,0.036,,,,,,,,,,,,,,,,,
MDEV&EDU,Operations Management Education Review,1,1,51,40%,14%,4%,0.000,,,,,,,,,,,,,,,,,,,
MDEV&EDU,Quality Assurance in Education,1,1,28,18,31,53%,22%,14%,0.267,,09684883,Emerald,,0.78,,1075,0.001,0.397,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,Tertiary Education and Management,1,1,33,32,27,34%,21%,5%,0.248,,13583883,Springer Nature,,0.84,,602,0.001,0.483,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
MDEV&EDU,The Journal of Research in Innovative Teaching & Learning,1,67%,14%,15%,0.037,,,,,,,,,,,,,,,,,,,,,
MKT,Journal of Consumer Psychology,4*,4*,14,13,6,15,8%,45%,7%,0.262,15327663,Wiley-Blackwell,4.551,0.97,Q3,8963,0.006,2.195,BUSINESS - SSCI,4,1.07,Q2,7881,0.005,2.193,BUSINESS
MKT,Journal of Consumer Research,4*,4*,5,3,2,6,6%,41%,3%,0.210,15375277,Oxford University Press,8.612,1.72,Q1,29675,0.011,3.882,BUSINESS - SSCI,5.7,1.24,Q1,24293,0.01,3.517,BUSINESS
MKT,Journal of Marketing,4*,4*,2,2,1,2,13%,27%,8%,0.329,15477185,SAGE,15.36,2.42,Q1,34054,0.011,5.304,BUSINESS - SSCI,11.5,2.34,Q1,27613,0.013,5.842,BUSINESS
MKT,Journal of Marketing Research,4*,4*,6,5,4,7,9%,21%,5%,0.553,15477193,American Marketing Association,6.664,1.22,Q2,31505,0.011,3.786,BUSINESS - SSCI,5.1,1.1,Q1,28218,0.01,3.804,BUSINESS
MKT,Journal of the Academy of Marketing Science,4*,4*,1,1,5,1,13%,53%,9%,0.342,15527824,Springer Nature,14.904,2.21,Q1,20821,0.01,3.999,BUSINESS - SSCI,9.5,2.05,Q1,20870,0.011,4.026,BUSINESS
MKT,Marketing Science,4*,4*,13,9,3,20,14%,48%,12%,0.944,1526548X,Institute for Operations Research and the Management Sciences,5.411,1.02,Q2,10183,0.008,3.282,BUSINESS - SSCI,4,0.89,Q2,8851,0.008,3.127,BUSINESS
MKT,International Journal of Research in Marketing,4,4,12,12,10,16,11%,55%,14%,0.094,18738001,Elsevier,8.047,1.26,Q1,6653,0.004,1.888,BUSINESS - SSCI,5.9,1.31,Q1,6099,0.004,2.101,BUSINESS
MKT,Journal of Retailing,4,4,4,4,8,5,5%,55%,13%,0.256,18733271,Elsevier,11.19,1.61,Q1,11538,0.003,2.207,BUSINESS - SSCI,8,1.84,Q1,9205,0.004,2.41,BUSINESS
MKT,European Journal of Marketing,3,3,31,24,25,30,19%,46%,7%,0.070,17587123,Emerald,5.181,0.9,Q2,10577,0.005,0.924,BUSINESS - SSCI,3.7,0.78,Q2,9520,0.006,1.169,BUSINESS
MKT,Industrial Marketing Management,3,3,7,11,13,8,26%,57%,11%,0.168,18732062,Elsevier,8.89,1.86,Q1,18181,0.011,1.41,BUSINESS - SSCI,7.8,1.82,Q1,18260,0.012,1.482,BUSINESS
MKT,International Marketing Review,3,3,15,19,21,14,32%,61%,8%,0.065,17586763,Emerald,5.774,1.04,Q2,4380,0.002,1.131,BUSINESS - SSCI,4.8,0.87,Q1,3891,0.002,0.937,BUSINESS
