Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE","INT J SYST SCI","TAYLOR & FRANCIS LTD","0020-7721","1464-5319","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","6,687","4.9","0.94","3.43"%," 17/106 ","3.3","Q2","4.6","0.9"," 26/106 ","Q1","75.94","0.009","2.027","1.001","84.4","Q1","Q2","172","95.35"%,"4.4","5","164",
"JOURNAL OF GLOBAL OPTIMIZATION","J GLOBAL OPTIM","SPRINGER","0925-5001","1573-2916","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","6,576","1.3","0.57","22.64"%," 83/106 ","1.8","Q3","1.2","0.2"," 51/106 ","Q2","52.36","0.004","0.915","0.726","22.2","Q4","Q2","79","100"%,"16.9","10.9","79",
"M&SOM-Manufacturing & Service Operations Management","M&SOM-MANUF SERV OP","INFORMS","1523-4614","1526-5498","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","6,449","4.8","1.15","0"%," 18/106 ","6.7","Q1","4.4","0.8"," 18/106 ","Q1","83.49","0.012","2.627","2.832","83.5","Q1","Q1","120","99.17"%,"5.4","8.9","119",
"SOCIO-ECONOMIC PLANNING SCIENCES","SOCIO-ECON PLAN SCI","ELSEVIER SCIENCE INC","0038-0121","1873-6041","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","5,526","6.2","1.88","16.23"%," 12/106 ","5.9","Q1","5.5","1.8"," 5/106 ","Q1","95.75","0.005","1.113","0.956","89.2","Q1","Q2","294","97.28"%,"2.8","7","286",
"MATHEMATICS OF OPERATIONS RESEARCH","MATH OPER RES","INFORMS","0364-765X","1526-5471","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","4,448","1.4","0.61","0"%," 74/106 ","1.8","Q3","1.3","0.3"," 45/106 ","Q2","58.02","0.006","1.249","1.43","30.7","Q3","Q1","123","100"%,"19.6","11.1","123",
"QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL","QUAL RELIAB ENG INT","WILEY","0748-8017","1099-1638","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","4,300","2.2","0.55","8.69"%," 45/106 ","2.2","Q2","1.8","0.8"," 54/106 ","Q3","49.53","0.003","0.769","0.46","58.0","Q2","Q3","208","96.15"%,"5.7","7.4","200",
"International Transactions in Operational Research","INT T OPER RES","WILEY","0969-6016","1475-3995","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,858","3.1","0.72","14.23"%," 34/106 ","3.2","Q2","2.2","0.9"," 34/106 ","Q2","68.40","0.004","0.859","0.612","68.4","Q2","Q3","155","95.48"%,"3.8","5.9","148",
"ENGINEERING OPTIMIZATION","ENG OPTIMIZ","TAYLOR & FRANCIS LTD","0305-215X","1029-0273","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,730","2.2","0.59","5.94"%," 45/106 ","2.3","Q2","1.9","0.8"," 48/106 ","Q2","55.19","0.003","0.65","0.486","58.0","Q2","Q3","71","100"%,"6.5","6.4","71",
"NAVAL RESEARCH LOGISTICS","NAV RES LOG","WILEY","0894-069X","1520-6750","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,541","1.9","0.42","15.03"%," 54/106 ","2.1","Q3","1.7","0.5"," 73/106 ","Q3","31.60","0.002","0.344","0.703","49.5","Q3","Q2","66","98.48"%,"18.9","9.6","65",
"OPERATIONS RESEARCH LETTERS","OPER RES LETT","ELSEVIER","0167-6377","1872-7468","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,313","0.8","0.21","14.9"%," 98/106 ","1.1","Q4","0.8","0.2"," 98/106 ","Q4","8.02","0.003","0.597","0.502","8.0","Q4","Q3","110","100"%,"13.6","13.7","110",
"NETWORKS","NETWORKS","WILEY","0028-3045","1097-0037","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,173","1.6","0.38","38.06"%," 65/106 ","3.7","Q2","1.5","0.3"," 76/106 ","Q3","28.77","0.003","0.74","1.402","39.2","Q3","Q1","53","96.23"%,"13","10.9","51",
"COMPUTATIONAL OPTIMIZATION AND APPLICATIONS","COMPUT OPTIM APPL","SPRINGER","0926-6003","1573-2894","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","3,171","1.6","0.79","31.58"%," 65/106 ","2","Q3","1.4","0.4"," 31/106 ","Q2","71.23","0.004","0.977","1.103","39.2","Q3","Q2","95","100"%,"9.6","11.6","95",
